Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Article; Parent_Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:04:00Z
Created_By	Taylor & Francis

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Mining Theme Park—Cultural Competition and the Politics of Identity Claims in an Indonesian Mining Town	Routledge		Taylor & Francis Online	Kathryn Robinson; 	2023-11-20	VoR	10.1080/14442213.2023.2277401					The Asia Pacific Journal of Anthropology			10.1080/rtap20	tandf:rtap20	1444-2213	1740-9314		OA_Gold	Total_Item_Requests	1	1	0
A multiplex real-time PCR assay for differential identification of avian Chlamydia	Taylor & Francis		Taylor & Francis Online	Sung-Il Kang, Min S. Kang, Min-Su Kang, O.-Mi Lee, Hye-Jin Lee, Ji-Yeon Jeong, Yongkuk Kwon, Yong-Kuk Kwon; 	2022-02-14	VoR	10.1080/03079457.2022.2031882					Avian Pathology			10.1080/cavp20	tandf:cavp20	0307-9457	1465-3338		Controlled	Unique_Item_Requests	1	1	0
A multiplex real-time PCR assay for differential identification of avian Chlamydia	Taylor & Francis		Taylor & Francis Online	Sung-Il Kang, Min S. Kang, Min-Su Kang, O.-Mi Lee, Hye-Jin Lee, Ji-Yeon Jeong, Yongkuk Kwon, Yong-Kuk Kwon; 	2022-02-14	VoR	10.1080/03079457.2022.2031882					Avian Pathology			10.1080/cavp20	tandf:cavp20	0307-9457	1465-3338		Controlled	Total_Item_Requests	1	1	0
A new thermal dose model based on Vogel-Tammann-Fulcher behaviour in thermal damage processes	Taylor & Francis		Taylor & Francis Online	J. C. Kumaradas, H. T. I. Assi, W. M. Whelan, Carl Kumaradas, M. G. Arsenault; 	2022-04-25	VoR	10.1080/02656736.2022.2065367					International Journal of Hyperthermia			10.1080/ihyt20	tandf:ihyt20	0265-6736	1464-5157		OA_Gold	Unique_Item_Requests	1	1	0
A new thermal dose model based on Vogel-Tammann-Fulcher behaviour in thermal damage processes	Taylor & Francis		Taylor & Francis Online	J. C. Kumaradas, H. T. I. Assi, W. M. Whelan, Carl Kumaradas, M. G. Arsenault; 	2022-04-25	VoR	10.1080/02656736.2022.2065367					International Journal of Hyperthermia			10.1080/ihyt20	tandf:ihyt20	0265-6736	1464-5157		OA_Gold	Total_Item_Requests	1	1	0
A novel electromagnetic tracking system for surgery navigation	Taylor & Francis		Taylor & Francis Online	Anna Maria Lucia Lanzolla, Gioacchino Brunetti, Sabatina Carlone, Pietro Larizza, Filippo Attivissimo; 	2018-11-29	VoR	10.1080/24699322.2018.1529199					Computer Assisted Surgery			10.1080/icsu21	tandf:icsu21		2469-9322		OA_Gold	Unique_Item_Requests	1	1	0
A novel electromagnetic tracking system for surgery navigation	Taylor & Francis		Taylor & Francis Online	Anna Maria Lucia Lanzolla, Gioacchino Brunetti, Sabatina Carlone, Pietro Larizza, Filippo Attivissimo; 	2018-11-29	VoR	10.1080/24699322.2018.1529199					Computer Assisted Surgery			10.1080/icsu21	tandf:icsu21		2469-9322		OA_Gold	Total_Item_Requests	1	1	0
A Post-development Hoax? (Re)-examining the Past, Present and Future of Development Studies	Routledge		Taylor & Francis Online	Nathan Andrews, Sylvia Bawa; 	2014-09-10	VoR	10.1080/01436597.2014.907704					Third World Quarterly			10.1080/ctwq20	tandf:ctwq20	0143-6597	1360-2241		Controlled	Unique_Item_Requests	1	1	0
A Post-development Hoax? (Re)-examining the Past, Present and Future of Development Studies	Routledge		Taylor & Francis Online	Nathan Andrews, Sylvia Bawa; 	2014-09-10	VoR	10.1080/01436597.2014.907704					Third World Quarterly			10.1080/ctwq20	tandf:ctwq20	0143-6597	1360-2241		Controlled	Total_Item_Requests	1	1	0
A practical guide to reflexivity in qualitative research: AMEE Guide No. 149	Taylor & Francis		Taylor & Francis Online	Francisco M. Olmos-Vega, Renate Kahlke, Lara Varpio, Renée E. Stalmeijer; 	2022-04-07	VoR	10.1080/0142159X.2022.2057287					Medical Teacher			10.1080/imte20	tandf:imte20	0142-159X	1466-187X		OA_Gold	Unique_Item_Requests	2	2	0
