Report_Name	Journal Usage by Access Type
Report_ID	TR_J3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	emeraldinsight:2e386820_7216_4455_9342_68bb65d29df0
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	3031: Usage not ready for requested dates (No usage data after Jan 2024 is available)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:27+00:00
Created_By	LibLynx LLC for Emerald Insight

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Meditari Accountancy Research	Emerald Insight		Emerald Insight	10.1108/MEDAR		2049-372X	2049-372X		OA_Gold	Total_Item_Requests	2	2	0
Meditari Accountancy Research	Emerald Insight		Emerald Insight	10.1108/MEDAR		2049-372X	2049-372X		OA_Gold	Unique_Item_Requests	1	1	0
New England Journal of Entrepreneurship	Emerald Insight		Emerald Insight	10.1108/NEJE		2574-8904			Controlled	Total_Item_Investigations	1	1	0
New England Journal of Entrepreneurship	Emerald Insight		Emerald Insight	10.1108/NEJE		2574-8904			Controlled	Unique_Item_Investigations	1	1	0
New England Journal of Entrepreneurship	Emerald Insight		Emerald Insight	10.1108/NEJE		2574-8904			Controlled	Total_Item_Requests	1	1	0
New England Journal of Entrepreneurship	Emerald Insight		Emerald Insight	10.1108/NEJE		2574-8904			Controlled	Unique_Item_Requests	1	1	0
Personnel Review	Emerald Insight		Emerald Insight	10.1108/PR		0048-3486			Controlled	Total_Item_Investigations	3	3	0
Personnel Review	Emerald Insight		Emerald Insight	10.1108/PR		0048-3486			Controlled	Unique_Item_Investigations	3	3	0
Qualitative Research in Accounting & Management	Emerald Insight		Emerald Insight	10.1108/QRAM		1176-6093	1176-6093		Controlled	Total_Item_Investigations	1	1	0
Qualitative Research in Accounting & Management	Emerald Insight		Emerald Insight	10.1108/QRAM		1176-6093	1176-6093		Controlled	Unique_Item_Investigations	1	1	0
Qualitative Research Journal	Emerald Insight		Emerald Insight	10.1108/QRJ		1443-9883	1443-9883		Controlled	Total_Item_Investigations	1	1	0
Qualitative Research Journal	Emerald Insight		Emerald Insight	10.1108/QRJ		1443-9883	1443-9883		Controlled	Unique_Item_Investigations	1	1	0
Strategy & Leadership	Emerald Insight		Emerald Insight	10.1108/SL		1087-8572	1087-8572		Controlled	Total_Item_Investigations	1	1	0
Strategy & Leadership	Emerald Insight		Emerald Insight	10.1108/SL		1087-8572	1087-8572		Controlled	Unique_Item_Investigations	1	1	0
Strategy & Leadership	Emerald Insight		Emerald Insight	10.1108/SL		1087-8572	1087-8572		Controlled	Total_Item_Requests	1	1	0
Strategy & Leadership	Emerald Insight		Emerald Insight	10.1108/SL		1087-8572	1087-8572		Controlled	Unique_Item_Requests	1	1	0
The International Journal of Information and Learning Technology	Emerald Insight		Emerald Insight	10.1108/IJILT		2056-4880			Controlled	Total_Item_Investigations	1	1	0
The International Journal of Information and Learning Technology	Emerald Insight		Emerald Insight	10.1108/IJILT		2056-4880			Controlled	Unique_Item_Investigations	1	1	0
The International Journal of Logistics Management	Emerald Insight		Emerald Insight	10.1108/IJLM		0957-4093			Controlled	Total_Item_Investigations	1	1	0
The International Journal of Logistics Management	Emerald Insight		Emerald Insight	10.1108/IJLM		0957-4093			Controlled	Unique_Item_Investigations	1	1	0
The Learning Organization	Emerald Insight		Emerald Insight	10.1108/TLO		0969-6474	0969-6474		Controlled	Total_Item_Investigations	4	4	0
The Learning Organization	Emerald Insight		Emerald Insight	10.1108/TLO		0969-6474	0969-6474		Controlled	Unique_Item_Investigations	3	3	0
