Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	utoronto:9387e450-faa8-45af-9e22-9709197fea9c
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:06:58Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Teaching Tip: Design and Implementation of a Safe Equine Radiation-Free Radiographic Simulator for Veterinary Skills Training in the Pre-clinical Curriculum	University of Toronto Press		University of Toronto Press	10.3138/jvme-2023-0080						Unique_Item_Investigations	1	1	0
Teaching Tip: Design and Implementation of a Safe Equine Radiation-Free Radiographic Simulator for Veterinary Skills Training in the Pre-clinical Curriculum	University of Toronto Press		University of Toronto Press	10.3138/jvme-2023-0080						Unique_Item_Requests	1	1	0
Teaching Tip: Design and Implementation of a Safe Equine Radiation-Free Radiographic Simulator for Veterinary Skills Training in the Pre-clinical Curriculum	University of Toronto Press		University of Toronto Press	10.3138/jvme-2023-0080						Total_Item_Requests	1	1	0
Teaching Tip: Design and Implementation of a Safe Equine Radiation-Free Radiographic Simulator for Veterinary Skills Training in the Pre-clinical Curriculum	University of Toronto Press		University of Toronto Press	10.3138/jvme-2023-0080						Total_Item_Investigations	1	1	0
Toward a broader conceptualization of trans women's sexual health	University of Toronto Press		University of Toronto Press	10.3138/cjhs.24.1-CO1						Unique_Item_Investigations	1	1	0
Toward a broader conceptualization of trans women's sexual health	University of Toronto Press		University of Toronto Press	10.3138/cjhs.24.1-CO1						Total_Item_Investigations	1	1	0
Understanding Anti-Asian Racism from Communication Perspectives: Insights from a Rapid Literature Review	University of Toronto Press		University of Toronto Press	10.3138/cjc.2022-0066						No_License	1	1	0
Understanding Anti-Asian Racism from Communication Perspectives: Insights from a Rapid Literature Review	University of Toronto Press		University of Toronto Press	10.3138/cjc.2022-0066						Unique_Item_Investigations	1	1	0
Understanding Anti-Asian Racism from Communication Perspectives: Insights from a Rapid Literature Review	University of Toronto Press		University of Toronto Press	10.3138/cjc.2022-0066						Total_Item_Investigations	1	1	0
“A whole series of frightful cases”: Domestic Violence, the Periodical Press and Victorian Feminist Writing	University of Toronto Press		University of Toronto Press	10.3138/topia.13.89						Unique_Item_Investigations	1	1	0
“A whole series of frightful cases”: Domestic Violence, the Periodical Press and Victorian Feminist Writing	University of Toronto Press		University of Toronto Press	10.3138/topia.13.89						Total_Item_Investigations	1	1	0
“Be proactive not reactive”: Understanding gaps in student sexual consent education	University of Toronto Press		University of Toronto Press	10.3138/cjhs.2021-0003						No_License	4	4	0
“Be proactive not reactive”: Understanding gaps in student sexual consent education	University of Toronto Press		University of Toronto Press	10.3138/cjhs.2021-0003						Unique_Item_Investigations	2	2	0
“Be proactive not reactive”: Understanding gaps in student sexual consent education	University of Toronto Press		University of Toronto Press	10.3138/cjhs.2021-0003						Total_Item_Investigations	4	4	0
“Yes doesn’t always mean yes, but no means no”: Exploring the perceived ambiguities in university students’ experiences of sexual consent	University of Toronto Press		University of Toronto Press	10.3138/cjhs.2023-0003						No_License	2	2	0
“Yes doesn’t always mean yes, but no means no”: Exploring the perceived ambiguities in university students’ experiences of sexual consent	University of Toronto Press		University of Toronto Press	10.3138/cjhs.2023-0003						Unique_Item_Investigations	1	1	0
“Yes doesn’t always mean yes, but no means no”: Exploring the perceived ambiguities in university students’ experiences of sexual consent	University of Toronto Press		University of Toronto Press	10.3138/cjhs.2023-0003						Total_Item_Investigations	2	2	0
