Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	Robertson Library, UPEI
Institution_ID	SN:3000162182
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:16Z
Created_By	SpringerNature

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Applied Research in Quality of Life	Springer Netherlands		SpringerLink	10.1007/11482.1871-2576	SN:11482	1871-2584	1871-2576		2021	Unique_Item_Requests	1	1	0
Applied Research in Quality of Life	Springer Netherlands		SpringerLink	10.1007/11482.1871-2576	SN:11482	1871-2584	1871-2576		2021	Total_Item_Requests	1	1	0
Applied Research in Quality of Life	Springer Netherlands		SpringerLink	10.1007/11482.1871-2576	SN:11482	1871-2584	1871-2576		2024	Unique_Item_Requests	1	1	0
Applied Research in Quality of Life	Springer Netherlands		SpringerLink	10.1007/11482.1871-2576	SN:11482	1871-2584	1871-2576		2024	Total_Item_Requests	1	1	0
Aquaculture International	Springer Netherlands		SpringerLink		SN:10499	0967-6120	1573-143X		2013	Unique_Item_Requests	2	2	0
Aquaculture International	Springer Netherlands		SpringerLink		SN:10499	0967-6120	1573-143X		2013	Total_Item_Requests	4	4	0
Aquaculture International	Springer International Publishing		SpringerLink	10.1007/10499.1573-143X	SN:10499	0967-6120	1573-143X		2014	Unique_Item_Requests	1	1	0
Aquaculture International	Springer International Publishing		SpringerLink	10.1007/10499.1573-143X	SN:10499	0967-6120	1573-143X		2014	Total_Item_Requests	2	2	0
Aquaculture International	Springer International Publishing		SpringerLink	10.1007/10499.1573-143X	SN:10499	0967-6120	1573-143X		2016	Unique_Item_Requests	1	1	0
Aquaculture International	Springer International Publishing		SpringerLink	10.1007/10499.1573-143X	SN:10499	0967-6120	1573-143X		2016	Total_Item_Requests	3	3	0
Arabian Journal of Geosciences	Springer Berlin Heidelberg		SpringerLink	10.1007/12517.1866-7538	SN:12517	1866-7511	1866-7538		2017	Unique_Item_Requests	1	1	0
Arabian Journal of Geosciences	Springer Berlin Heidelberg		SpringerLink	10.1007/12517.1866-7538	SN:12517	1866-7511	1866-7538		2017	Total_Item_Requests	2	2	0
Arabian Journal of Geosciences	Springer Berlin Heidelberg		SpringerLink	10.1007/12517.1866-7538	SN:12517	1866-7511	1866-7538		2018	Unique_Item_Requests	1	1	0
Arabian Journal of Geosciences	Springer Berlin Heidelberg		SpringerLink	10.1007/12517.1866-7538	SN:12517	1866-7511	1866-7538		2018	Total_Item_Requests	1	1	0
Arabian Journal of Geosciences	Springer International Publishing		SpringerLink	10.1007/12517.1866-7538	SN:12517	1866-7511	1866-7538		2020	Unique_Item_Requests	2	2	0
Arabian Journal of Geosciences	Springer International Publishing		SpringerLink	10.1007/12517.1866-7538	SN:12517	1866-7511	1866-7538		2020	Total_Item_Requests	3	3	0
Arabian Journal of Geosciences	Springer International Publishing		SpringerLink	10.1007/12517.1866-7538	SN:12517	1866-7511	1866-7538		2021	Unique_Item_Requests	2	2	0
Arabian Journal of Geosciences	Springer International Publishing		SpringerLink	10.1007/12517.1866-7538	SN:12517	1866-7511	1866-7538		2021	Total_Item_Requests	2	2	0
Archaeologies	Springer US		SpringerLink	10.1007/11759.1935-3987	SN:11759	1555-8622	1935-3987		2023	Unique_Item_Requests	1	1	0
Archaeologies	Springer US		SpringerLink	10.1007/11759.1935-3987	SN:11759	1555-8622	1935-3987		2023	Total_Item_Requests	1	1	0
Archival Science	Springer Netherlands		SpringerLink	10.1007/10502.1573-7519	SN:10502	1389-0166	1573-7519		2014	Unique_Item_Requests	1	1	0
Archival Science	Springer Netherlands		SpringerLink	10.1007/10502.1573-7519	SN:10502	1389-0166	1573-7519		2014	Total_Item_Requests	1	1	0
Archive for Mathematical Logic	Springer-Verlag		SpringerLink		SN:153	0933-5846	1432-0665		2004	Unique_Item_Requests	1	1	0
