Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Total_Item_Investigations; Unique_Item_Investigations; Unique_Title_Investigations; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:53Z
Created_By	EBSCO Information Services

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Guide to Slavic Collections in the United States and Canada	Routledge		EBSCOhost		EBSCOhost:BookID:511868	978-0-7890-2249-3				2004	Controlled	Total_Item_Requests	1	1	0
A Guide to Slavic Collections in the United States and Canada	Routledge		EBSCOhost		EBSCOhost:BookID:511868	978-0-7890-2249-3				2004	Controlled	Unique_Item_Investigations	1	1	0
A Guide to Slavic Collections in the United States and Canada	Routledge		EBSCOhost		EBSCOhost:BookID:511868	978-0-7890-2249-3				2004	Controlled	Unique_Item_Requests	1	1	0
A Guide to Slavic Collections in the United States and Canada	Routledge		EBSCOhost		EBSCOhost:BookID:511868	978-0-7890-2249-3				2004	Controlled	Unique_Title_Investigations	1	1	0
A Guide to Slavic Collections in the United States and Canada	Routledge		EBSCOhost		EBSCOhost:BookID:511868	978-0-7890-2249-3				2004	Controlled	Unique_Title_Requests	1	1	0
A Handbook of Geriatric Neuropsychology: Practice Essentials	Routledge		EBSCOhost		EBSCOhost:BookID:3308967	978-0-367-55452-1				2022	Controlled	Total_Item_Investigations	3	3	0
A Handbook of Geriatric Neuropsychology: Practice Essentials	Routledge		EBSCOhost		EBSCOhost:BookID:3308967	978-0-367-55452-1				2022	Controlled	Unique_Item_Investigations	1	1	0
A Handbook of Geriatric Neuropsychology: Practice Essentials	Routledge		EBSCOhost		EBSCOhost:BookID:3308967	978-0-367-55452-1				2022	Controlled	Unique_Title_Investigations	1	1	0
A History of Modern Indonesia since c. 1300	MacMillan		EBSCOhost			978-0-333-57689-2				1993	Controlled	Total_Item_Investigations	1	1	0
A History of Modern Indonesia since c. 1300	MacMillan		EBSCOhost			978-0-333-57689-2				1993	Controlled	Unique_Item_Investigations	1	1	0
A History of Modern Indonesia since c. 1300	MacMillan		EBSCOhost			978-0-333-57689-2				1993	Controlled	Unique_Title_Investigations	1	1	0
A imagen y semejanza: antología de cuentos			EBSCOhost							2010	Controlled	Total_Item_Investigations	1	1	0
A imagen y semejanza: antología de cuentos			EBSCOhost							2010	Controlled	Unique_Item_Investigations	1	1	0
A imagen y semejanza: antología de cuentos			EBSCOhost							2010	Controlled	Unique_Title_Investigations	1	1	0
A Kaizen Approach to Food Safety	Springer International Publishing		EBSCOhost		EBSCOhost:BookID:1174877	978-3-319-04249-7				2014	Controlled	Total_Item_Investigations	1	1	0
A Kaizen Approach to Food Safety	Springer International Publishing		EBSCOhost		EBSCOhost:BookID:1174877	978-3-319-04249-7				2014	Controlled	Unique_Item_Investigations	1	1	0
A Kaizen Approach to Food Safety	Springer International Publishing		EBSCOhost		EBSCOhost:BookID:1174877	978-3-319-04249-7				2014	Controlled	Unique_Title_Investigations	1	1	0
A lark for the sake of their country: The 1926 General Strike volunteers in folklore and memory	Manchester University Press		EBSCOhost		EBSCOhost:BookID:1812071	978-0-7190-7977-1				2012	Controlled	Total_Item_Investigations	1	1	0
A lark for the sake of their country: The 1926 General Strike volunteers in folklore and memory	Manchester University Press		EBSCOhost		EBSCOhost:BookID:1812071	978-0-7190-7977-1				2012	Controlled	Unique_Item_Investigations	1	1	0
A lark for the sake of their country: The 1926 General Strike volunteers in folklore and memory	Manchester University Press		EBSCOhost		EBSCOhost:BookID:1812071	978-0-7190-7977-1				2012	Controlled	Unique_Title_Investigations	1	1	0
A life of Jesus / by Shusaku Endo ; translated from the Japanese by Richard A. Schuchert.			EBSCOhost			978-0-8091-0269-3				1978	Controlled	Total_Item_Investigations	1	1	0
A life of Jesus / by Shusaku Endo ; translated from the Japanese by Richard A. Schuchert.			EBSCOhost			978-0-8091-0269-3				1978	Controlled	Unique_Item_Investigations	1	1	0
A life of Jesus / by Shusaku Endo ; translated from the Japanese by Richard A. Schuchert.			EBSCOhost			978-0-8091-0269-3				1978	Controlled	Unique_Title_Investigations	1	1	0
A Mouth Sweeter Than Salt: An African Memoir	University of Michigan Press		EBSCOhost		EBSCOhost:BookID:318442	978-0-472-03132-0				2004	Controlled	Total_Item_Investigations	2	2	0
A Mouth Sweeter Than Salt: An African Memoir	University of Michigan Press		EBSCOhost		EBSCOhost:BookID:318442	978-0-472-03132-0				2004	Controlled	Total_Item_Requests	1	1	0
A Mouth Sweeter Than Salt: An African Memoir	University of Michigan Press		EBSCOhost		EBSCOhost:BookID:318442	978-0-472-03132-0				2004	Controlled	Unique_Item_Investigations	1	1	0
A Mouth Sweeter Than Salt: An African Memoir	University of Michigan Press		EBSCOhost		EBSCOhost:BookID:318442	978-0-472-03132-0				2004	Controlled	Unique_Item_Requests	1	1	0
A Mouth Sweeter Than Salt: An African Memoir	University of Michigan Press		EBSCOhost		EBSCOhost:BookID:318442	978-0-472-03132-0				2004	Controlled	Unique_Title_Investigations	1	1	0
A Mouth Sweeter Than Salt: An African Memoir	University of Michigan Press		EBSCOhost		EBSCOhost:BookID:318442	978-0-472-03132-0				2004	Controlled	Unique_Title_Requests	1	1	0
A Possible Anthropology: Methods for Uneasy Times	Duke University Press		EBSCOhost		EBSCOhost:BookID:2285020	978-1-4780-0311-3				2019	Controlled	Total_Item_Investigations	1	1	0
A Possible Anthropology: Methods for Uneasy Times	Duke University Press		EBSCOhost		EBSCOhost:BookID:2285020	978-1-4780-0311-3				2019	Controlled	Total_Item_Requests	1	1	0
A Possible Anthropology: Methods for Uneasy Times	Duke University Press		EBSCOhost		EBSCOhost:BookID:2285020	978-1-4780-0311-3				2019	Controlled	Unique_Item_Investigations	1	1	0
A Possible Anthropology: Methods for Uneasy Times	Duke University Press		EBSCOhost		EBSCOhost:BookID:2285020	978-1-4780-0311-3				2019	Controlled	Unique_Item_Requests	1	1	0
A Possible Anthropology: Methods for Uneasy Times	Duke University Press		EBSCOhost		EBSCOhost:BookID:2285020	978-1-4780-0311-3				2019	Controlled	Unique_Title_Investigations	1	1	0
A Possible Anthropology: Methods for Uneasy Times	Duke University Press		EBSCOhost		EBSCOhost:BookID:2285020	978-1-4780-0311-3				2019	Controlled	Unique_Title_Requests	1	1	0
A PRACTICAL GUIDE TO LEADERSHIP DEVELOPMENT	HCPro		EBSCOhost			978-1-60146-073-8				2007	Controlled	Total_Item_Investigations	1	1	0
A PRACTICAL GUIDE TO LEADERSHIP DEVELOPMENT	HCPro		EBSCOhost			978-1-60146-073-8				2007	Controlled	Unique_Item_Investigations	1	1	0
A PRACTICAL GUIDE TO LEADERSHIP DEVELOPMENT	HCPro		EBSCOhost			978-1-60146-073-8				2007	Controlled	Unique_Title_Investigations	1	1	0
A Primer of Conservation Genetics	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:157948	978-0-521-53827-5				2004	Controlled	Total_Item_Investigations	5	5	0
A Primer of Conservation Genetics	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:157948	978-0-521-53827-5				2004	Controlled	Total_Item_Requests	4	4	0
A Primer of Conservation Genetics	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:157948	978-0-521-53827-5				2004	Controlled	Unique_Item_Investigations	1	1	0
A Primer of Conservation Genetics	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:157948	978-0-521-53827-5				2004	Controlled	Unique_Item_Requests	1	1	0
A Primer of Conservation Genetics	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:157948	978-0-521-53827-5				2004	Controlled	Unique_Title_Investigations	1	1	0
A Primer of Conservation Genetics	Cambridge University Press		EBSCOhost		EBSCOhost:BookID:157948	978-0-521-53827-5				2004	Controlled	Unique_Title_Requests	1	1	0
A Psychology of Difference: The American Lectures	Princeton University Press		EBSCOhost		EBSCOhost:BookID:2505190	978-0-691-04470-5				1996	Controlled	Total_Item_Investigations	1	1	0
A Psychology of Difference: The American Lectures	Princeton University Press		EBSCOhost		EBSCOhost:BookID:2505190	978-0-691-04470-5				1996	Controlled	Unique_Item_Investigations	1	1	0
A Psychology of Difference: The American Lectures	Princeton University Press		EBSCOhost		EBSCOhost:BookID:2505190	978-0-691-04470-5				1996	Controlled	Unique_Title_Investigations	1	1	0
A Short History of the Middle Ages	University of Toronto Press		EBSCOhost		EBSCOhost:BookID:3508233	978-1-4875-4098-2				2022	Controlled	Total_Item_Investigations	1	1	0
A Short History of the Middle Ages	University of Toronto Press		EBSCOhost		EBSCOhost:BookID:3508233	978-1-4875-4098-2				2022	Controlled	Unique_Item_Investigations	1	1	0
A Short History of the Middle Ages	University of Toronto Press		EBSCOhost		EBSCOhost:BookID:3508233	978-1-4875-4098-2				2022	Controlled	Unique_Title_Investigations	1	1	0
A Study of Personality Characteristics and Values of Secondary School Teachers in Relation to Their Classroom Performance and Students' Likings	Anchor Academic Pub.		EBSCOhost		EBSCOhost:BookID:1412442	978-3-95489-495-6				2016	Controlled	Total_Item_Investigations	1	1	0
A Study of Personality Characteristics and Values of Secondary School Teachers in Relation to Their Classroom Performance and Students' Likings	Anchor Academic Pub.		EBSCOhost		EBSCOhost:BookID:1412442	978-3-95489-495-6				2016	Controlled	Unique_Item_Investigations	1	1	0
A Study of Personality Characteristics and Values of Secondary School Teachers in Relation to Their Classroom Performance and Students' Likings	Anchor Academic Pub.		EBSCOhost		EBSCOhost:BookID:1412442	978-3-95489-495-6				2016	Controlled	Unique_Title_Investigations	1	1	0
