Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:00Z
Created_By	EBSCO Information Services

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
AnthroSource	Undefined		EBSCOhost	EBSCOhost:edsatr	Searches_Automated	15699	15699	0
AnthroSource	Undefined		EBSCOhost	EBSCOhost:edsatr	Total_Item_Investigations	3	3	0
AnthroSource	Undefined		EBSCOhost	EBSCOhost:edsatr	Unique_Item_Investigations	2	2	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:edspdh	Searches_Automated	19254	19254	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:edspdh	Total_Item_Investigations	6	6	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:edspdh	Unique_Item_Investigations	6	6	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:pdh	Searches_Automated	19302	19302	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:pdh	Searches_Regular	109	109	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:pdh	Total_Item_Investigations	262	262	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:pdh	Total_Item_Requests	231	231	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:pdh	Unique_Item_Investigations	167	167	0
APA PsycArticles	American Psychological Association		EBSCOhost	EBSCOhost:pdh	Unique_Item_Requests	164	164	0
APA PsycBooks	American Psychological Association		EBSCOhost	EBSCOhost:edspzh	Total_Item_Investigations	6	6	0
APA PsycBooks	American Psychological Association		EBSCOhost	EBSCOhost:edspzh	Unique_Item_Investigations	6	6	0
APA PsycBooks	American Psychological Association		EBSCOhost	EBSCOhost:edspzh	Unique_Title_Investigations	4	4	0
APA PsycBooks	American Psychological Association		EBSCOhost	EBSCOhost:edspzh	Searches_Automated	15762	15762	0
APA PsycBooks	American Psychological Association		EBSCOhost	EBSCOhost:edspzh	Total_Item_Investigations	3	3	0
APA PsycBooks	American Psychological Association		EBSCOhost	EBSCOhost:edspzh	Unique_Item_Investigations	3	3	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Total_Item_Investigations	63	63	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Unique_Item_Investigations	55	55	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Unique_Title_Investigations	49	49	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Searches_Automated	22842	22842	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Searches_Regular	702	702	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Total_Item_Investigations	12	12	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Unique_Item_Investigations	11	11	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Total_Item_Investigations	1219	1219	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Unique_Item_Investigations	1147	1147	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Total_Item_Investigations	45	45	0
APA PsycInfo	American Psychological Association		EBSCOhost	EBSCOhost:psyh	Unique_Item_Investigations	36	36	0
APA PsycTherapy	Undefined		EBSCOhost	EBSCOhost:ldpsy	Searches_Regular	2	2	0
Aphasiology Archive	University of Pittsburgh, University Library Syste		EBSCOhost	EBSCOhost:edsupa	Searches_Automated	19169	19169	0
Archive of European Integration	University of Pittsburgh, University Library Syste		EBSCOhost	EBSCOhost:edsupe	Searches_Automated	19171	19171	0
Arts & Humanities Citation Index	Thomson Reuters		EBSCOhost	EBSCOhost:edswah	Searches_Automated	19273	19273	0
Arts & Humanities Citation Index	Thomson Reuters		EBSCOhost	EBSCOhost:edswah	Total_Item_Investigations	5	5	0
Arts & Humanities Citation Index	Thomson Reuters		EBSCOhost	EBSCOhost:edswah	Unique_Item_Investigations	3	3	0
arXiv	arXiv		EBSCOhost	EBSCOhost:edsarx	Searches_Automated	22698	22698	0
arXiv	arXiv		EBSCOhost	EBSCOhost:edsarx	Total_Item_Investigations	23	23	0
arXiv	arXiv		EBSCOhost	EBSCOhost:edsarx	Unique_Item_Investigations	20	20	0
ASCE Legacy Journals	Undefined		EBSCOhost	EBSCOhost:edsalj	Searches_Automated	15737	15737	0
ASM Handbooks Online	ASM International		EBSCOhost	EBSCOhost:edsaho	Searches_Automated	15755	15755	0
Associated Press Video	Undefined		EBSCOhost	EBSCOhost:vap	Searches_Automated	2	2	0
