Report_Name	Database Search and Item Usage
Report_ID	DR_D1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Searches_Automated; Searches_Federated; Searches_Regular; Total_Item_Investigations; Total_Item_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:04Z
Created_By	EBSCO Information Services

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Bloomsbury Human Kinetics Library	Undefined		EBSCOhost	EBSCOhost:edsbhk	Searches_Automated	15720	15720	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Searches_Automated	15813	15813	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Total_Item_Investigations	63	63	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Searches_Automated	15719	15719	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Total_Item_Investigations	3	3	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Searches_Automated	19299	19299	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Total_Item_Investigations	366	366	0
British Library EThOS	British Library Board		EBSCOhost	EBSCOhost:edsble	Searches_Automated	15721	15721	0
British Library EThOS	British Library Board		EBSCOhost	EBSCOhost:edsble	Total_Item_Investigations	48	48	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Searches_Automated	22864	22864	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Searches_Regular	965	965	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Total_Item_Investigations	1951	1951	0
Business Source Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:bth	Total_Item_Requests	859	859	0
Business Source Index	Undefined		EBSCOhost	EBSCOhost:bsx	Searches_Automated	15927	15927	0
CAB Abstracts​​​​​​​ with Full Text	Undefined		EBSCOhost	EBSCOhost:cbt	Searches_Automated	15845	15845	0
CAB Abstracts​​​​​​​ with Full Text	Undefined		EBSCOhost	EBSCOhost:cbt	Searches_Regular	182	182	0
CAB Abstracts​​​​​​​ with Full Text	Undefined		EBSCOhost	EBSCOhost:cbt	Total_Item_Investigations	687	687	0
CAB Abstracts​​​​​​​ with Full Text	Undefined		EBSCOhost	EBSCOhost:cbt	Total_Item_Requests	196	196	0
CAB eBooks	Undefined		EBSCOhost	EBSCOhost:edsceb	Searches_Automated	15697	15697	0
CAB Reviews	Undefined		EBSCOhost	EBSCOhost:edscre	Searches_Automated	15703	15703	0
CABI Compendia	Undefined		EBSCOhost	EBSCOhost:edscom	Searches_Automated	15692	15692	0
CABI Compendia	Undefined		EBSCOhost	EBSCOhost:edscom	Total_Item_Investigations	1	1	0
Cairn.info	Cairn		EBSCOhost	EBSCOhost:edscrn	Searches_Automated	15792	15792	0
Cairn.info	Cairn		EBSCOhost	EBSCOhost:edscrn	Total_Item_Investigations	7	7	0
Cambridge Core Books	Cambridge University Press / Books		EBSCOhost	EBSCOhost:edsupo	Searches_Automated	15752	15752	0
Cambridge Core Books	Cambridge University Press / Books		EBSCOhost	EBSCOhost:edsupo	Total_Item_Investigations	24	24	0
Canada Commons	Gibson Library Connection		EBSCOhost	EBSCOhost:edscel	Searches_Automated	22711	22711	0
Canada Commons	Gibson Library Connection		EBSCOhost	EBSCOhost:edscel	Total_Item_Investigations	5	5	0
Canadiana Online	Canadiana.org		EBSCOhost	EBSCOhost:edseco	Searches_Automated	22696	22696	0
Canadiana Online	Canadiana.org		EBSCOhost	EBSCOhost:edseco	Total_Item_Investigations	1	1	0
Center for Research Libraries	Center for Research Libraries		EBSCOhost	EBSCOhost:edscrl	Searches_Automated	15745	15745	0
Center for Research Libraries	Center for Research Libraries		EBSCOhost	EBSCOhost:edscrl	Total_Item_Investigations	1	1	0
ChemSpider	Royal Society of Chemistry		EBSCOhost	EBSCOhost:edschs	Searches_Automated	15754	15754	0
Children's Literature Comprehensive Database	Undefined		EBSCOhost	EBSCOhost:edsclc	Searches_Automated	15765	15765	0
Children's Literature Comprehensive Database	Undefined		EBSCOhost	EBSCOhost:edsclc	Total_Item_Investigations	14	14	0
China Science & Technology Journal Database	Chongqing VIP Information Co. Ltd.		EBSCOhost	EBSCOhost:edscqv	Searches_Automated	15777	15777	0
China Science & Technology Journal Database	Chongqing VIP Information Co. Ltd.		EBSCOhost	EBSCOhost:edscqv	Total_Item_Investigations	8	8	0
China/Asia On Demand	OriProbe Information Services		EBSCOhost	EBSCOhost:edsocd	Searches_Automated	15772	15772	0
Choice Reviews	American Library Association / Choice		EBSCOhost	EBSCOhost:edscro	Searches_Automated	15748	15748	0
CINAHL with Full Text	EBSCO Publishing		EBSCOhost	EBSCOhost:c8h	Searches_Automated	22802	22802	0
CINAHL with Full Text	EBSCO Publishing		EBSCOhost	EBSCOhost:c8h	Searches_Regular	2796	2796	0
CINAHL with Full Text	EBSCO Publishing		EBSCOhost	EBSCOhost:c8h	Total_Item_Investigations	2473	2473	0
CINAHL with Full Text	EBSCO Publishing		EBSCOhost	EBSCOhost:c8h	Total_Item_Requests	341	341	0
ClinicalTrials.gov	National Library of Medicine		EBSCOhost	EBSCOhost:edsclt	Searches_Automated	429	429	0
Cochrane Database of Systematic Reviews	John Wiley & Sons, Inc		EBSCOhost	EBSCOhost:edschh	Searches_Automated	22709	22709	0
Cochrane Database of Systematic Reviews	John Wiley & Sons, Inc		EBSCOhost	EBSCOhost:edschh	Total_Item_Investigations	1	1	0
CogPrints	Stevan Harnad		EBSCOhost	EBSCOhost:edscog	Searches_Automated	22707	22707	0
Complementary Index	EBSCO Publishing		EBSCOhost	EBSCOhost:edb	Searches_Automated	22903	22903	0
Complementary Index	EBSCO Publishing		EBSCOhost	EBSCOhost:edb	Total_Item_Investigations	296	296	0
conupitt consolidated db	Undefined		EBSCOhost	EBSCOhost:conupitt	Searches_Automated	78	78	0
Darwin Books	Societa Editrice il Mulino Spa		EBSCOhost	EBSCOhost:edsdar	Searches_Automated	15755	15755	0
dblp computer science bibliography	Schloss Dagstuhl LZI		EBSCOhost	EBSCOhost:edsdbl	Searches_Automated	15727	15727	0
dblp computer science bibliography	Schloss Dagstuhl LZI		EBSCOhost	EBSCOhost:edsdbl	Total_Item_Investigations	9	9	0
DEHESA	Repositorio Institucional Universidad de Extremadu		EBSCOhost	EBSCOhost:edsdeh	Searches_Automated	15720	15720	0
Digital Access to Scholarship at Harvard (DASH)	Harvard University Library, Office for Scholarly C		EBSCOhost	EBSCOhost:edshld	Searches_Automated	22737	22737	0
Digital Library of the Caribbean	Digital Library of the Caribbean		EBSCOhost	EBSCOhost:edsloc	Searches_Automated	15749	15749	0
DigitalNZ	National Library of New Zealand		EBSCOhost	EBSCOhost:edsdnz	Searches_Automated	15711	15711	0
DigitalNZ	National Library of New Zealand		EBSCOhost	EBSCOhost:edsdnz	Total_Item_Investigations	1	1	0
Directory of Open Access Books	Undefined		EBSCOhost	EBSCOhost:edsdob	Searches_Automated	15766	15766	0
Directory of Open Access Books	Undefined		EBSCOhost	EBSCOhost:edsdob	Total_Item_Investigations	32	32	0
Directory of Open Access Journals	Directory of Open Access Journals		EBSCOhost	EBSCOhost:edsdoj	Searches_Automated	19298	19298	0
Directory of Open Access Journals	Directory of Open Access Journals		EBSCOhost	EBSCOhost:edsdoj	Total_Item_Investigations	492	492	0
E-Journals	EBSCO Publishing		EBSCOhost	EBSCOhost:eoah	Searches_Regular	4663	4663	0
E-Journals	EBSCO Publishing		EBSCOhost	EBSCOhost:eoah	Total_Item_Investigations	7	7	0
E-LIS (Eprints in Library & Information Science)	Advanced ePublishing Infrastructures - CILEA		EBSCOhost	EBSCOhost:edseli	Searches_Automated	19292	19292	0
eArticle	Electronic Education Research Information Service		EBSCOhost	EBSCOhost:edsers	Searches_Automated	15752	15752	0
eArticle	Electronic Education Research Information Service		EBSCOhost	EBSCOhost:edsers	Total_Item_Investigations	8	8	0
eBook Academic Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:e000xna	Searches_Automated	22813	22813	0
