Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T15:49:35Z
Created_By	Cambridge Core

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Bipolar II Disorder	Cambridge University Press		Cambridge Core	10.1017/CBO9781139003315		978-1-139-00331-5			https://doi.org/10.1017/CBO9781139003315	2012	Controlled	Unique_Item_Investigations	1	0	1
Bipolar II Disorder	Cambridge University Press		Cambridge Core	10.1017/CBO9781139003315		978-1-139-00331-5			https://doi.org/10.1017/CBO9781139003315	2012	Controlled	Unique_Title_Investigations	1	0	1
Blindness and Spectatorship in Ancient and Modern Theatres	Cambridge University Press		Cambridge Core	10.1017/9781009372732		978-1-009-37273-2			https://doi.org/10.1017/9781009372732	2023	Controlled	Total_Item_Investigations	2	2	0
Blindness and Spectatorship in Ancient and Modern Theatres	Cambridge University Press		Cambridge Core	10.1017/9781009372732		978-1-009-37273-2			https://doi.org/10.1017/9781009372732	2023	Controlled	Total_Item_Requests	1	1	0
Blindness and Spectatorship in Ancient and Modern Theatres	Cambridge University Press		Cambridge Core	10.1017/9781009372732		978-1-009-37273-2			https://doi.org/10.1017/9781009372732	2023	Controlled	Unique_Item_Investigations	2	2	0
Blindness and Spectatorship in Ancient and Modern Theatres	Cambridge University Press		Cambridge Core	10.1017/9781009372732		978-1-009-37273-2			https://doi.org/10.1017/9781009372732	2023	Controlled	Unique_Item_Requests	1	1	0
Blindness and Spectatorship in Ancient and Modern Theatres	Cambridge University Press		Cambridge Core	10.1017/9781009372732		978-1-009-37273-2			https://doi.org/10.1017/9781009372732	2023	Controlled	Unique_Title_Investigations	1	1	0
Blindness and Spectatorship in Ancient and Modern Theatres	Cambridge University Press		Cambridge Core	10.1017/9781009372732		978-1-009-37273-2			https://doi.org/10.1017/9781009372732	2023	Controlled	Unique_Title_Requests	1	1	0
Bloomsbury, Modernism, and the Reinvention of Intimacy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511794575		978-0-511-79457-5			https://doi.org/10.1017/CBO9780511794575	2011	Controlled	Total_Item_Investigations	22	0	22
Bloomsbury, Modernism, and the Reinvention of Intimacy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511794575		978-0-511-79457-5			https://doi.org/10.1017/CBO9780511794575	2011	Controlled	Total_Item_Requests	15	0	15
Bloomsbury, Modernism, and the Reinvention of Intimacy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511794575		978-0-511-79457-5			https://doi.org/10.1017/CBO9780511794575	2011	Controlled	Unique_Item_Investigations	16	0	16
Bloomsbury, Modernism, and the Reinvention of Intimacy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511794575		978-0-511-79457-5			https://doi.org/10.1017/CBO9780511794575	2011	Controlled	Unique_Item_Requests	11	0	11
Bloomsbury, Modernism, and the Reinvention of Intimacy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511794575		978-0-511-79457-5			https://doi.org/10.1017/CBO9780511794575	2011	Controlled	Unique_Title_Investigations	4	0	4
Bloomsbury, Modernism, and the Reinvention of Intimacy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511794575		978-0-511-79457-5			https://doi.org/10.1017/CBO9780511794575	2011	Controlled	Unique_Title_Requests	2	0	2
Church Building and Society in the Later Middle Ages	Cambridge University Press		Cambridge Core	10.1017/9781316661765		978-1-316-66176-5			https://doi.org/10.1017/9781316661765	2017	Controlled	Total_Item_Investigations	1	0	1
Church Building and Society in the Later Middle Ages	Cambridge University Press		Cambridge Core	10.1017/9781316661765		978-1-316-66176-5			https://doi.org/10.1017/9781316661765	2017	Controlled	Unique_Item_Investigations	1	0	1
Church Building and Society in the Later Middle Ages	Cambridge University Press		Cambridge Core	10.1017/9781316661765		978-1-316-66176-5			https://doi.org/10.1017/9781316661765	2017	Controlled	Unique_Title_Investigations	1	0	1
Cities of Strangers	Cambridge University Press		Cambridge Core	10.1017/9781108666510		978-1-108-66651-0			https://doi.org/10.1017/9781108666510	2020	Controlled	Total_Item_Investigations	6	6	0
