Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T15:49:38Z
Created_By	Cambridge Core

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Episteme			Cambridge Core		CUP:EPI	1742-3600	1750-0117	https://www.cambridge.org/core/product/identifier/EPI/type/journal	Unique_Item_Requests	2	0	2
European Constitutional Law Review	Cambridge University Press		Cambridge Core		CUP:ECL	1574-0196	1744-5515	https://www.cambridge.org/core/product/identifier/ECL/type/journal	Total_Item_Requests	2	0	2
European Constitutional Law Review	Cambridge University Press		Cambridge Core		CUP:ECL	1574-0196	1744-5515	https://www.cambridge.org/core/product/identifier/ECL/type/journal	Unique_Item_Requests	1	0	1
European Psychiatry	Cambridge University Press		Cambridge Core		CUP:EPA	0924-9338	1778-3585	https://www.cambridge.org/core/product/identifier/EPA/type/journal	Total_Item_Requests	1	1	0
European Psychiatry	Cambridge University Press		Cambridge Core		CUP:EPA	0924-9338	1778-3585	https://www.cambridge.org/core/product/identifier/EPA/type/journal	Unique_Item_Requests	1	1	0
Experimental Agriculture			Cambridge Core		CUP:EAG	0014-4797	1469-4441	https://www.cambridge.org/core/product/identifier/EAG/type/journal	Total_Item_Requests	2	0	2
Experimental Agriculture			Cambridge Core		CUP:EAG	0014-4797	1469-4441	https://www.cambridge.org/core/product/identifier/EAG/type/journal	Unique_Item_Requests	2	0	2
Geological Magazine	Cambridge University Press		Cambridge Core		CUP:GEO	0016-7568	1469-5081	https://www.cambridge.org/core/product/identifier/GEO/type/journal	Total_Item_Requests	1	1	0
Geological Magazine	Cambridge University Press		Cambridge Core		CUP:GEO	0016-7568	1469-5081	https://www.cambridge.org/core/product/identifier/GEO/type/journal	Unique_Item_Requests	1	1	0
Harvard Theological Review	Cambridge University Press		Cambridge Core		CUP:HTR	0017-8160	1475-4517	https://www.cambridge.org/core/product/identifier/HTR/type/journal	Total_Item_Requests	1	0	1
Harvard Theological Review	Cambridge University Press		Cambridge Core		CUP:HTR	0017-8160	1475-4517	https://www.cambridge.org/core/product/identifier/HTR/type/journal	Unique_Item_Requests	1	0	1
Hypatia	Cambridge University Press		Cambridge Core		CUP:HYP	0887-5367	1527-2001	https://www.cambridge.org/core/product/identifier/HYP/type/journal	Total_Item_Requests	2	2	0
Hypatia	Cambridge University Press		Cambridge Core		CUP:HYP	0887-5367	1527-2001	https://www.cambridge.org/core/product/identifier/HYP/type/journal	Unique_Item_Requests	1	1	0
Industrial and Organizational Psychology	Cambridge University Press		Cambridge Core		CUP:IOP	1754-9426	1754-9434	https://www.cambridge.org/core/product/identifier/IOP/type/journal	Total_Item_Requests	1	0	1
Industrial and Organizational Psychology	Cambridge University Press		Cambridge Core		CUP:IOP	1754-9426	1754-9434	https://www.cambridge.org/core/product/identifier/IOP/type/journal	Unique_Item_Requests	1	0	1
International Journal of Legal Information	Cambridge University Press		Cambridge Core		CUP:JLI	0731-1265	2331-4117	https://www.cambridge.org/core/product/identifier/JLI/type/journal	Total_Item_Requests	1	0	1
International Journal of Legal Information	Cambridge University Press		Cambridge Core		CUP:JLI	0731-1265	2331-4117	https://www.cambridge.org/core/product/identifier/JLI/type/journal	Unique_Item_Requests	1	0	1
International Journal of Technology Assessment in Health Care	Cambridge University Press		Cambridge Core		CUP:THC	0266-4623	1471-6348	https://www.cambridge.org/core/product/identifier/THC/type/journal	Total_Item_Requests	1	1	0
International Journal of Technology Assessment in Health Care	Cambridge University Press		Cambridge Core		CUP:THC	0266-4623	1471-6348	https://www.cambridge.org/core/product/identifier/THC/type/journal	Unique_Item_Requests	1	1	0
International Psychogeriatrics	Cambridge University Press		Cambridge Core		CUP:IPG	1041-6102	1741-203X	https://www.cambridge.org/core/product/identifier/IPG/type/journal	Total_Item_Requests	8	2	6
International Psychogeriatrics	Cambridge University Press		Cambridge Core		CUP:IPG	1041-6102	1741-203X	https://www.cambridge.org/core/product/identifier/IPG/type/journal	Unique_Item_Requests	7	2	5
