Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:00Z
Created_By	EBSCO Information Services

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
ASCE Legacy Journals	Undefined		EBSCOhost	EBSCOhost:edsalj	Database	Regular	Searches_Automated	15737	15737	0
ASM Handbooks Online	ASM International		EBSCOhost	EBSCOhost:edsaho	Database	Regular	Searches_Automated	15755	15755	0
Associated Press Video	Undefined		EBSCOhost	EBSCOhost:vap	Database	Regular	Searches_Automated	2	2	0
Associated Press Video	Undefined		EBSCOhost	EBSCOhost:vap	Database	Regular	Searches_Regular	2863	2863	0
Associated Press Video	Undefined		EBSCOhost	EBSCOhost:vap	Database	Regular	Total_Item_Investigations	1	1	0
Associated Press Video	Undefined		EBSCOhost	EBSCOhost:vap	Database	Regular	Total_Item_Requests	1	1	0
Associated Press Video	Undefined		EBSCOhost	EBSCOhost:vap	Database	Regular	Unique_Item_Investigations	1	1	0
Associated Press Video	Undefined		EBSCOhost	EBSCOhost:vap	Database	Regular	Unique_Item_Requests	1	1	0
ASTM Compass	ASTM International		EBSCOhost	EBSCOhost:edsatm	Database	Regular	Searches_Automated	19195	19195	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Book	Regular	Total_Item_Investigations	13	13	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Book	Regular	Unique_Item_Investigations	11	11	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Book	Regular	Unique_Title_Investigations	9	9	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Database	Regular	Searches_Automated	22746	22746	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Database	Regular	Searches_Regular	100	100	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Journal	Regular	Total_Item_Investigations	118	118	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Journal	Regular	Total_Item_Requests	29	29	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Journal	Regular	Unique_Item_Investigations	92	92	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Journal	Regular	Unique_Item_Requests	24	24	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Other	Regular	Total_Item_Investigations	15	15	0
Atla Religion Database with AtlaSerials	American Theological Library Association		EBSCOhost	EBSCOhost:rfh	Other	Regular	Unique_Item_Investigations	14	14	0
Audiobook Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:nlabk	Database	Regular	Searches_Regular	37	37	0
Australian Public Affairs Full Text / APAIS Index	RMIT Training Pty Ltd trading as RMIT Publishing		EBSCOhost	EBSCOhost:edsaup	Database	Regular	Searches_Automated	15754	15754	0
Australian Public Affairs Full Text / APAIS Index	RMIT Training Pty Ltd trading as RMIT Publishing		EBSCOhost	EBSCOhost:edsaup	Journal	Regular	Total_Item_Investigations	10	10	0
Australian Public Affairs Full Text / APAIS Index	RMIT Training Pty Ltd trading as RMIT Publishing		EBSCOhost	EBSCOhost:edsaup	Journal	Regular	Unique_Item_Investigations	10	10	0
BASE	Bielefeld University Library		EBSCOhost	EBSCOhost:edsbas	Book	Regular	Total_Item_Investigations	5	5	0
BASE	Bielefeld University Library		EBSCOhost	EBSCOhost:edsbas	Book	Regular	Unique_Item_Investigations	4	4	0
BASE	Bielefeld University Library		EBSCOhost	EBSCOhost:edsbas	Book	Regular	Unique_Title_Investigations	4	4	0
