Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	coherentdigital:university_of_prince_edward_island_ca
Metric_Types	
Report_Filters	Data_Type=Article|Book|Book_Segment|Dataset|Journal|Multimedia|Newspaper_or_Newsletter|Other|Repository_Item|Report|Thesis_or_Dissertation
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:40:11+00:00
Created_By	LibLynx LLC for Coherent Digital

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
DIGITAL LITERACY: CANADA’S PRODUCTIVITY OPPORTUNITY - A WHITE PAPER FROM THE INFORMATION AND	Information and Communications Technology Council		Coherent Digital		artifact:2003383					Total_Item_Requests	2	0	2
DIGITAL LITERACY: CANADA’S PRODUCTIVITY OPPORTUNITY - A WHITE PAPER FROM THE INFORMATION AND	Information and Communications Technology Council		Coherent Digital		artifact:2003383					Unique_Item_Requests	1	0	1
Educational Attainment, Migration, and Provincial Spending on Universities in Canada	Fraser Institute		Coherent Digital		artifact:11276360					Total_Item_Investigations	2	2	0
Educational Attainment, Migration, and Provincial Spending on Universities in Canada	Fraser Institute		Coherent Digital		artifact:11276360					Unique_Item_Investigations	1	1	0
Educational Attainment, Migration, and Provincial Spending on Universities in Canada	Fraser Institute		Coherent Digital		artifact:11276360					Total_Item_Requests	1	1	0
Educational Attainment, Migration, and Provincial Spending on Universities in Canada	Fraser Institute		Coherent Digital		artifact:11276360					Unique_Item_Requests	1	1	0
Environmental sustainability of Canadian agriculture : Agriculture écologiquement durable au Canada	desLibris		Coherent Digital		artifact:1205544					Total_Item_Investigations	1	0	1
Environmental sustainability of Canadian agriculture : Agriculture écologiquement durable au Canada	desLibris		Coherent Digital		artifact:1205544					Unique_Item_Investigations	1	0	1
From The Globe and Mail . Canada's Most Trusted News Source	Centre for the Study of Living Standards		Coherent Digital		artifact:1932829					Total_Item_Investigations	1	0	1
From The Globe and Mail . Canada's Most Trusted News Source	Centre for the Study of Living Standards		Coherent Digital		artifact:1932829					Unique_Item_Investigations	1	0	1
Ghettos in Canada’s cities? Racial segregation, ethnic enclaves and poverty	Neighbourhood Change Research Partnership		Coherent Digital		artifact:2069032					Total_Item_Investigations	2	0	2
Ghettos in Canada’s cities? Racial segregation, ethnic enclaves and poverty	Neighbourhood Change Research Partnership		Coherent Digital		artifact:2069032					Unique_Item_Investigations	2	0	2
INUIT SUBMISSION TO - Employment and Social Development Canada Regarding National Indigenous Early Learning	Inuit Tapiriit Kanatami		Coherent Digital		artifact:1818753					Total_Item_Investigations	2	2	0
INUIT SUBMISSION TO - Employment and Social Development Canada Regarding National Indigenous Early Learning	Inuit Tapiriit Kanatami		Coherent Digital		artifact:1818753					Unique_Item_Investigations	1	1	0
INUIT SUBMISSION TO - Employment and Social Development Canada Regarding National Indigenous Early Learning	Inuit Tapiriit Kanatami		Coherent Digital		artifact:1818753					Total_Item_Requests	1	1	0
INUIT SUBMISSION TO - Employment and Social Development Canada Regarding National Indigenous Early Learning	Inuit Tapiriit Kanatami		Coherent Digital		artifact:1818753					Unique_Item_Requests	1	1	0
Island Doctor : John Mackieson and Medicine in Nineteenth-Century Prince Edward Island	McGill-Queen's University Press		Coherent Digital		artifact:1866165					Total_Item_Investigations	1	0	1
Island Doctor : John Mackieson and Medicine in Nineteenth-Century Prince Edward Island	McGill-Queen's University Press		Coherent Digital		artifact:1866165					Unique_Item_Investigations	1	0	1
La grammaire philosophique du Pseudo-Robert Grosseteste (Pierre de Limoges, Pierre d’Auvergne ?) : Présentation, édition et traduction des Communia parisiens et salmantins	Les Presses de l'Université Laval		Coherent Digital		artifact:2313722					Total_Item_Investigations	1	0	1
La grammaire philosophique du Pseudo-Robert Grosseteste (Pierre de Limoges, Pierre d’Auvergne ?) : Présentation, édition et traduction des Communia parisiens et salmantins	Les Presses de l'Université Laval		Coherent Digital		artifact:2313722					Unique_Item_Investigations	1	0	1
Mar 2023 - Community-based adaptation approaches to sea level rise and health	National Collaborating Centre for Environmental Health		Coherent Digital		artifact:3524251					Total_Item_Investigations	2	2	0
Mar 2023 - Community-based adaptation approaches to sea level rise and health	National Collaborating Centre for Environmental Health		Coherent Digital		artifact:3524251					Unique_Item_Investigations	1	1	0
Mar 2023 - Community-based adaptation approaches to sea level rise and health	National Collaborating Centre for Environmental Health		Coherent Digital		artifact:3524251					Total_Item_Requests	1	1	0
Mar 2023 - Community-based adaptation approaches to sea level rise and health	National Collaborating Centre for Environmental Health		Coherent Digital		artifact:3524251					Unique_Item_Requests	1	1	0
Mouse Pet	Ronsdale Press		Coherent Digital		artifact:1880986					Total_Item_Investigations	1	1	0
Mouse Pet	Ronsdale Press		Coherent Digital		artifact:1880986					Unique_Item_Investigations	1	1	0
Nine Visits to the Mythworld : Ghandi of the Qayahl Llaanas	Harbour Publishing		Coherent Digital		artifact:1872529					Total_Item_Investigations	2	0	2
Nine Visits to the Mythworld : Ghandi of the Qayahl Llaanas	Harbour Publishing		Coherent Digital		artifact:1872529					Unique_Item_Investigations	1	0	1
Nova Scotia Health Promotion and Protection	Coherent Digital		Coherent Digital		organization:nova-scotia-health-promotion-and-protection					Total_Item_Investigations	1	1	0
Nova Scotia Health Promotion and Protection	Coherent Digital		Coherent Digital		organization:nova-scotia-health-promotion-and-protection					Unique_Item_Investigations	1	1	0
Nova Scotia Health Promotion and Protection	Coherent Digital		Coherent Digital		organization:nova-scotia-health-promotion-and-protection					Total_Item_Requests	1	1	0
Nova Scotia Health Promotion and Protection	Coherent Digital		Coherent Digital		organization:nova-scotia-health-promotion-and-protection					Unique_Item_Requests	1	1	0
Quantum Computing 101 • What is quantum computing? • Practical applicability	Institute for Citizen-Centred Service 		Coherent Digital		artifact:2390074					Total_Item_Investigations	1	0	1
Quantum Computing 101 • What is quantum computing? • Practical applicability	Institute for Citizen-Centred Service 		Coherent Digital		artifact:2390074					Unique_Item_Investigations	1	0	1
Queen Charlotte Islands coastal zone	desLibris		Coherent Digital		artifact:1215816					Total_Item_Investigations	1	1	0
Queen Charlotte Islands coastal zone	desLibris		Coherent Digital		artifact:1215816					Unique_Item_Investigations	1	1	0
Regional assessment Magdalen Islands	desLibris		Coherent Digital		artifact:1200038					Total_Item_Investigations	3	3	0
Regional assessment Magdalen Islands	desLibris		Coherent Digital		artifact:1200038					Unique_Item_Investigations	1	1	0
Regional assessment Magdalen Islands	desLibris		Coherent Digital		artifact:1200038					Total_Item_Requests	1	1	0
Regional assessment Magdalen Islands	desLibris		Coherent Digital		artifact:1200038					Unique_Item_Requests	1	1	0
School of Public Policy, University of Calgary	Coherent Digital		Coherent Digital		organization:school-of-public-policy-university-of-calgary					Total_Item_Investigations	1	0	1
School of Public Policy, University of Calgary	Coherent Digital		Coherent Digital		organization:school-of-public-policy-university-of-calgary					Unique_Item_Investigations	1	0	1
School of Public Policy, University of Calgary	Coherent Digital		Coherent Digital		organization:school-of-public-policy-university-of-calgary					Total_Item_Requests	1	0	1
School of Public Policy, University of Calgary	Coherent Digital		Coherent Digital		organization:school-of-public-policy-university-of-calgary					Unique_Item_Requests	1	0	1
Senior Cohousing How-To Guide	desLibris		Coherent Digital		artifact:1184007					Total_Item_Investigations	1	0	1
Senior Cohousing How-To Guide	desLibris		Coherent Digital		artifact:1184007					Unique_Item_Investigations	1	0	1
Speechless	Freehand Books		Coherent Digital		artifact:1879407					Total_Item_Investigations	4	4	0
Speechless	Freehand Books		Coherent Digital		artifact:1879407					Unique_Item_Investigations	2	2	0
Speechless	Freehand Books		Coherent Digital		artifact:1879407					Total_Item_Requests	1	1	0
Speechless	Freehand Books		Coherent Digital		artifact:1879407					Unique_Item_Requests	1	1	0
Statistics Canada	Coherent Digital		Coherent Digital		organization:statistics-canada-ca					Total_Item_Investigations	1	0	1
Statistics Canada	Coherent Digital		Coherent Digital		organization:statistics-canada-ca					Unique_Item_Investigations	1	0	1
Statistics Canada	Coherent Digital		Coherent Digital		organization:statistics-canada-ca					Total_Item_Requests	1	0	1
Statistics Canada	Coherent Digital		Coherent Digital		organization:statistics-canada-ca					Unique_Item_Requests	1	0	1
The Allspice Bath	Inanna Publications and Education Inc.		Coherent Digital		artifact:1879529					Total_Item_Investigations	1	1	0
The Allspice Bath	Inanna Publications and Education Inc.		Coherent Digital		artifact:1879529					Unique_Item_Investigations	1	1	0
The Anne of Green Gables Collection : Six Novels (Anne of Green Gables, Anne of Avonlea, Anne’s House of Dreams, Rainbow Valley, and Rilla of Ingleside) with 27 short stories from Avonlea	Engage Books		Coherent Digital		artifact:1879204					Total_Item_Investigations	30	12	18
The Anne of Green Gables Collection : Six Novels (Anne of Green Gables, Anne of Avonlea, Anne’s House of Dreams, Rainbow Valley, and Rilla of Ingleside) with 27 short stories from Avonlea	Engage Books		Coherent Digital		artifact:1879204					Unique_Item_Investigations	10	4	6
The Anne of Green Gables Collection : Six Novels (Anne of Green Gables, Anne of Avonlea, Anne’s House of Dreams, Rainbow Valley, and Rilla of Ingleside) with 27 short stories from Avonlea	Engage Books		Coherent Digital		artifact:1879204					Total_Item_Requests	10	4	6
The Anne of Green Gables Collection : Six Novels (Anne of Green Gables, Anne of Avonlea, Anne’s House of Dreams, Rainbow Valley, and Rilla of Ingleside) with 27 short stories from Avonlea	Engage Books		Coherent Digital		artifact:1879204					Unique_Item_Requests	10	4	6
The Education of Augie Merasty : A Residential School Memoir - New Edition	University of Regina Press		Coherent Digital		artifact:2300621					Total_Item_Investigations	1	1	0
The Education of Augie Merasty : A Residential School Memoir - New Edition	University of Regina Press		Coherent Digital		artifact:2300621					Unique_Item_Investigations	1	1	0
The Oxford Companion to Canadian History	Oxford University Press Canada		Coherent Digital		artifact:1874423					Total_Item_Investigations	2	0	2
The Oxford Companion to Canadian History	Oxford University Press Canada		Coherent Digital		artifact:1874423					Unique_Item_Investigations	1	0	1
The Oxford Companion to Canadian History	Oxford University Press Canada		Coherent Digital		artifact:1874423					Total_Item_Requests	1	0	1
The Oxford Companion to Canadian History	Oxford University Press Canada		Coherent Digital		artifact:1874423					Unique_Item_Requests	1	0	1
The People of Denendeh : Ethnohistory of the Indians of Canada's Northwest Territories	McGill-Queen's University Press		Coherent Digital		artifact:1873912					Total_Item_Investigations	3	3	0
The People of Denendeh : Ethnohistory of the Indians of Canada's Northwest Territories	McGill-Queen's University Press		Coherent Digital		artifact:1873912					Unique_Item_Investigations	1	1	0
The People of Denendeh : Ethnohistory of the Indians of Canada's Northwest Territories	McGill-Queen's University Press		Coherent Digital		artifact:1873912					Total_Item_Requests	1	1	0
The People of Denendeh : Ethnohistory of the Indians of Canada's Northwest Territories	McGill-Queen's University Press		Coherent Digital		artifact:1873912					Unique_Item_Requests	1	1	0
Transforming Our Realities	desLibris		Coherent Digital		artifact:1222094					Total_Item_Investigations	4	4	0
Transforming Our Realities	desLibris		Coherent Digital		artifact:1222094					Unique_Item_Investigations	1	1	0
Transforming Our Realities	desLibris		Coherent Digital		artifact:1222094					Total_Item_Requests	2	2	0
Transforming Our Realities	desLibris		Coherent Digital		artifact:1222094					Unique_Item_Requests	1	1	0
Transforming Our Realities	desLibris		Coherent Digital		artifact:1229652					Total_Item_Investigations	3	3	0
Transforming Our Realities	desLibris		Coherent Digital		artifact:1229652					Unique_Item_Investigations	1	1	0
Transforming Our Realities	desLibris		Coherent Digital		artifact:1229652					Total_Item_Requests	1	1	0
Transforming Our Realities	desLibris		Coherent Digital		artifact:1229652					Unique_Item_Requests	1	1	0
UBC Press	Coherent Digital		Coherent Digital		organization:ubc-press					Total_Item_Investigations	1	0	1
UBC Press	Coherent Digital		Coherent Digital		organization:ubc-press					Unique_Item_Investigations	1	0	1
UBC Press	Coherent Digital		Coherent Digital		organization:ubc-press					Total_Item_Requests	1	0	1
UBC Press	Coherent Digital		Coherent Digital		organization:ubc-press					Unique_Item_Requests	1	0	1
UNIVERSITIES CANADA’S Commitments to TRUTH and RECONCILIATION	Association of Universities & Colleges in Canada		Coherent Digital		artifact:3743076					Total_Item_Investigations	1	0	1
UNIVERSITIES CANADA’S Commitments to TRUTH and RECONCILIATION	Association of Universities & Colleges in Canada		Coherent Digital		artifact:3743076					Unique_Item_Investigations	1	0	1
University of Toronto Press	Coherent Digital		Coherent Digital		organization:university-of-toronto-press					Total_Item_Investigations	1	0	1
University of Toronto Press	Coherent Digital		Coherent Digital		organization:university-of-toronto-press					Unique_Item_Investigations	1	0	1
University of Toronto Press	Coherent Digital		Coherent Digital		organization:university-of-toronto-press					Total_Item_Requests	1	0	1
University of Toronto Press	Coherent Digital		Coherent Digital		organization:university-of-toronto-press					Unique_Item_Requests	1	0	1
Wasáse : Indigenous Pathways of Action and Freedom	University of Toronto Press Higher Education		Coherent Digital		artifact:1868067					Total_Item_Investigations	5	5	0
Wasáse : Indigenous Pathways of Action and Freedom	University of Toronto Press Higher Education		Coherent Digital		artifact:1868067					Unique_Item_Investigations	3	3	0
Wasáse : Indigenous Pathways of Action and Freedom	University of Toronto Press Higher Education		Coherent Digital		artifact:1868067					Total_Item_Requests	1	1	0
Wasáse : Indigenous Pathways of Action and Freedom	University of Toronto Press Higher Education		Coherent Digital		artifact:1868067					Unique_Item_Requests	1	1	0
What to do about Canada's declining math scores /	desLibris		Coherent Digital		artifact:1197915					Total_Item_Investigations	2	0	2
What to do about Canada's declining math scores /	desLibris		Coherent Digital		artifact:1197915					Unique_Item_Investigations	2	0	2
Workbook : Memos & Dispatches On Writing	ECW Press		Coherent Digital		artifact:1877279					Total_Item_Investigations	8	0	8
Workbook : Memos & Dispatches On Writing	ECW Press		Coherent Digital		artifact:1877279					Unique_Item_Investigations	3	0	3
Workbook : Memos & Dispatches On Writing	ECW Press		Coherent Digital		artifact:1877279					Total_Item_Requests	3	0	3
Workbook : Memos & Dispatches On Writing	ECW Press		Coherent Digital		artifact:1877279					Unique_Item_Requests	3	0	3
