Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:03:49Z
Created_By	Taylor & Francis

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A high-throughput assay of membrane protein stability	Taylor & Francis		Taylor & Francis Online	10.1080/09687680802530469						Unique_Item_Investigations	1	1	0
A high-throughput assay of membrane protein stability	Taylor & Francis		Taylor & Francis Online	10.1080/09687680802530469						Unique_Item_Requests	1	1	0
A high-throughput assay of membrane protein stability	Taylor & Francis		Taylor & Francis Online	10.1080/09687680802530469						Total_Item_Investigations	1	1	0
A high-throughput assay of membrane protein stability	Taylor & Francis		Taylor & Francis Online	10.1080/09687680802530469						Total_Item_Requests	1	1	0
A Mass Conspiracy to Feed People: Food Not Bombs and the World-class Waste of Global Cities David Boarder Giles Durham and London, Duke University Press, 2021 A Mass Conspiracy to Feed People: Food Not Bombs and the World-class Waste of Global Cities David Boarder Giles Durham and London , Duke University Press , 2021	Routledge		Taylor & Francis Online	10.1080/14442213.2022.2148045						Unique_Item_Investigations	2	2	0
A Mass Conspiracy to Feed People: Food Not Bombs and the World-class Waste of Global Cities David Boarder Giles Durham and London, Duke University Press, 2021 A Mass Conspiracy to Feed People: Food Not Bombs and the World-class Waste of Global Cities David Boarder Giles Durham and London , Duke University Press , 2021	Routledge		Taylor & Francis Online	10.1080/14442213.2022.2148045						Unique_Item_Requests	2	2	0
A Mass Conspiracy to Feed People: Food Not Bombs and the World-class Waste of Global Cities David Boarder Giles Durham and London, Duke University Press, 2021 A Mass Conspiracy to Feed People: Food Not Bombs and the World-class Waste of Global Cities David Boarder Giles Durham and London , Duke University Press , 2021	Routledge		Taylor & Francis Online	10.1080/14442213.2022.2148045						Total_Item_Investigations	2	2	0
A Mass Conspiracy to Feed People: Food Not Bombs and the World-class Waste of Global Cities David Boarder Giles Durham and London, Duke University Press, 2021 A Mass Conspiracy to Feed People: Food Not Bombs and the World-class Waste of Global Cities David Boarder Giles Durham and London , Duke University Press , 2021	Routledge		Taylor & Francis Online	10.1080/14442213.2022.2148045						Total_Item_Requests	2	2	0
A Mediterranean-style dietary intervention supplemented with fish oil improves diet quality and mental health in people with depression: A randomized controlled trial (HELFIMED)	Taylor & Francis		Taylor & Francis Online	10.1080/1028415X.2017.1411320						Unique_Item_Investigations	1	1	0
A Mediterranean-style dietary intervention supplemented with fish oil improves diet quality and mental health in people with depression: A randomized controlled trial (HELFIMED)	Taylor & Francis		Taylor & Francis Online	10.1080/1028415X.2017.1411320						Unique_Item_Requests	1	1	0
A Mediterranean-style dietary intervention supplemented with fish oil improves diet quality and mental health in people with depression: A randomized controlled trial (HELFIMED)	Taylor & Francis		Taylor & Francis Online	10.1080/1028415X.2017.1411320						Total_Item_Investigations	1	1	0
A Mediterranean-style dietary intervention supplemented with fish oil improves diet quality and mental health in people with depression: A randomized controlled trial (HELFIMED)	Taylor & Francis		Taylor & Francis Online	10.1080/1028415X.2017.1411320						Total_Item_Requests	1	1	0
A Mining Theme Park—Cultural Competition and the Politics of Identity Claims in an Indonesian Mining Town	Routledge		Taylor & Francis Online	10.1080/14442213.2023.2277401						Unique_Item_Investigations	1	1	0
A Mining Theme Park—Cultural Competition and the Politics of Identity Claims in an Indonesian Mining Town	Routledge		Taylor & Francis Online	10.1080/14442213.2023.2277401						Unique_Item_Requests	1	1	0
A Mining Theme Park—Cultural Competition and the Politics of Identity Claims in an Indonesian Mining Town	Routledge		Taylor & Francis Online	10.1080/14442213.2023.2277401						Total_Item_Investigations	1	1	0
A Mining Theme Park—Cultural Competition and the Politics of Identity Claims in an Indonesian Mining Town	Routledge		Taylor & Francis Online	10.1080/14442213.2023.2277401						Total_Item_Requests	1	1	0
A multiplex real-time PCR assay for differential identification of avian Chlamydia	Taylor & Francis		Taylor & Francis Online	10.1080/03079457.2022.2031882						Unique_Item_Investigations	1	1	0
A multiplex real-time PCR assay for differential identification of avian Chlamydia	Taylor & Francis		Taylor & Francis Online	10.1080/03079457.2022.2031882						Unique_Item_Requests	1	1	0
A multiplex real-time PCR assay for differential identification of avian Chlamydia	Taylor & Francis		Taylor & Francis Online	10.1080/03079457.2022.2031882						Total_Item_Investigations	1	1	0
A multiplex real-time PCR assay for differential identification of avian Chlamydia	Taylor & Francis		Taylor & Francis Online	10.1080/03079457.2022.2031882						Total_Item_Requests	1	1	0
A new adaptive controller for volume-controlled mechanical ventilation in small animals	Taylor & Francis		Taylor & Francis Online	10.3109/01902148.2014.900156						Unique_Item_Investigations	1	1	0
A new adaptive controller for volume-controlled mechanical ventilation in small animals	Taylor & Francis		Taylor & Francis Online	10.3109/01902148.2014.900156						Total_Item_Investigations	1	1	0
A new thermal dose model based on Vogel-Tammann-Fulcher behaviour in thermal damage processes	Taylor & Francis		Taylor & Francis Online	10.1080/02656736.2022.2065367						Unique_Item_Investigations	1	1	0
A new thermal dose model based on Vogel-Tammann-Fulcher behaviour in thermal damage processes	Taylor & Francis		Taylor & Francis Online	10.1080/02656736.2022.2065367						Unique_Item_Requests	1	1	0
A new thermal dose model based on Vogel-Tammann-Fulcher behaviour in thermal damage processes	Taylor & Francis		Taylor & Francis Online	10.1080/02656736.2022.2065367						Total_Item_Investigations	1	1	0
A new thermal dose model based on Vogel-Tammann-Fulcher behaviour in thermal damage processes	Taylor & Francis		Taylor & Francis Online	10.1080/02656736.2022.2065367						Total_Item_Requests	1	1	0
A novel digestion technique for multi?element plant analysis	Taylor & Francis		Taylor & Francis Online	10.1080/00103628309367359						Unique_Item_Investigations	1	1	0
A novel digestion technique for multi?element plant analysis	Taylor & Francis		Taylor & Francis Online	10.1080/00103628309367359						Total_Item_Investigations	1	1	0
A novel electromagnetic tracking system for surgery navigation	Taylor & Francis		Taylor & Francis Online	10.1080/24699322.2018.1529199						Unique_Item_Investigations	1	1	0
A novel electromagnetic tracking system for surgery navigation	Taylor & Francis		Taylor & Francis Online	10.1080/24699322.2018.1529199						Unique_Item_Requests	1	1	0
A novel electromagnetic tracking system for surgery navigation	Taylor & Francis		Taylor & Francis Online	10.1080/24699322.2018.1529199						Total_Item_Investigations	1	1	0
A novel electromagnetic tracking system for surgery navigation	Taylor & Francis		Taylor & Francis Online	10.1080/24699322.2018.1529199						Total_Item_Requests	1	1	0
A Post-development Hoax? (Re)-examining the Past, Present and Future of Development Studies	Routledge		Taylor & Francis Online	10.1080/01436597.2014.907704						Unique_Item_Investigations	1	1	0
A Post-development Hoax? (Re)-examining the Past, Present and Future of Development Studies	Routledge		Taylor & Francis Online	10.1080/01436597.2014.907704						Unique_Item_Requests	1	1	0
A Post-development Hoax? (Re)-examining the Past, Present and Future of Development Studies	Routledge		Taylor & Francis Online	10.1080/01436597.2014.907704						Total_Item_Investigations	1	1	0
A Post-development Hoax? (Re)-examining the Past, Present and Future of Development Studies	Routledge		Taylor & Francis Online	10.1080/01436597.2014.907704						Total_Item_Requests	1	1	0
A practical guide to reflexivity in qualitative research: AMEE Guide No. 149	Taylor & Francis		Taylor & Francis Online	10.1080/0142159X.2022.2057287						Unique_Item_Investigations	2	2	0
A practical guide to reflexivity in qualitative research: AMEE Guide No. 149	Taylor & Francis		Taylor & Francis Online	10.1080/0142159X.2022.2057287						Unique_Item_Requests	2	2	0
A practical guide to reflexivity in qualitative research: AMEE Guide No. 149	Taylor & Francis		Taylor & Francis Online	10.1080/0142159X.2022.2057287						Total_Item_Investigations	2	2	0
A practical guide to reflexivity in qualitative research: AMEE Guide No. 149	Taylor & Francis		Taylor & Francis Online	10.1080/0142159X.2022.2057287						Total_Item_Requests	2	2	0
A Psychological Exploration of the Experience of Acting	Routledge		Taylor & Francis Online	10.1080/10400419.2019.1667944						Unique_Item_Investigations	1	1	0
A Psychological Exploration of the Experience of Acting	Routledge		Taylor & Francis Online	10.1080/10400419.2019.1667944						Unique_Item_Requests	1	1	0
A Psychological Exploration of the Experience of Acting	Routledge		Taylor & Francis Online	10.1080/10400419.2019.1667944						Total_Item_Investigations	2	2	0
A Psychological Exploration of the Experience of Acting	Routledge		Taylor & Francis Online	10.1080/10400419.2019.1667944						Total_Item_Requests	2	2	0
A randomized controlled trial of mindfulness-based stress reduction on academic resilience and performance in college students	Taylor & Francis		Taylor & Francis Online	10.1080/07448481.2021.1950728						Unique_Item_Investigations	5	5	0
A randomized controlled trial of mindfulness-based stress reduction on academic resilience and performance in college students	Taylor & Francis		Taylor & Francis Online	10.1080/07448481.2021.1950728						Unique_Item_Requests	5	5	0
