Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of PEI (Prince Edward Island)
Institution_ID	connect:peican
Metric_Types	No_License; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Parent_Data_Type=Book|Journal; Data_Type=Article|Book|Book_Segment
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True
Exceptions	3031: Usage Not Ready for Requested Dates(Investigation Usage is available up to 2024-01-31.Request Usage is available up to 2024-01-31.No License Usage is available up to 2024-01-31.) ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:47:25Z
Created_By	ingentaconnect

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Fad Diets: Dietary Dilemmas, Predicaments, and Recommendations for its Use	Bentham Science Publishers		connect	Singh; Jyoti and Rasane; Prasad and Tomer; Vidisha and Kaur; Sawinder and Gat; Yogesh and Dhawan; Kajal and Mahato; Dipendra K. and Kumar; Vikas; 		VoR	10.2174/1573401316999200407092922			1573-4013		https://www.ingentaconnect.com/content/ben/cnf/2020/00000016/00000009/art00012	Current Nutrition & Food Science			VoR					1573-4013		https://www.ingentaconnect.com/content/ben/cnf											Article	2020	Controlled	Regular	Total_Item_Investigations	1	1	0
Fad Diets: Dietary Dilemmas, Predicaments, and Recommendations for its Use	Bentham Science Publishers		connect	Singh; Jyoti and Rasane; Prasad and Tomer; Vidisha and Kaur; Sawinder and Gat; Yogesh and Dhawan; Kajal and Mahato; Dipendra K. and Kumar; Vikas; 		VoR	10.2174/1573401316999200407092922			1573-4013		https://www.ingentaconnect.com/content/ben/cnf/2020/00000016/00000009/art00012	Current Nutrition & Food Science			VoR					1573-4013		https://www.ingentaconnect.com/content/ben/cnf											Article	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
Fad Diets: Dietary Dilemmas, Predicaments, and Recommendations for its Use	Bentham Science Publishers		connect	Singh; Jyoti and Rasane; Prasad and Tomer; Vidisha and Kaur; Sawinder and Gat; Yogesh and Dhawan; Kajal and Mahato; Dipendra K. and Kumar; Vikas; 		VoR	10.2174/1573401316999200407092922			1573-4013		https://www.ingentaconnect.com/content/ben/cnf/2020/00000016/00000009/art00012	Current Nutrition & Food Science			VoR					1573-4013		https://www.ingentaconnect.com/content/ben/cnf											Article	2020	Controlled	Regular	No_License	1	1	0
Field Trial of a Pasteurella multocida Extract Vaccine in Rabbits	American Association for Laboratory Animal Science		connect	Suckow; Mark A and Haab; Rudolph W and Miloscio; Lawrence J and Guilloud; Norman B; 		VoR				1559-6109		https://www.ingentaconnect.com/content/aalas/jaalas/2008/00000047/00000001/art00003	Journal of the American Association for Laboratory Animal Science			VoR					1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas											Article	2008	OA_Gold	Regular	Total_Item_Investigations	1	1	0
Field Trial of a Pasteurella multocida Extract Vaccine in Rabbits	American Association for Laboratory Animal Science		connect	Suckow; Mark A and Haab; Rudolph W and Miloscio; Lawrence J and Guilloud; Norman B; 		VoR				1559-6109		https://www.ingentaconnect.com/content/aalas/jaalas/2008/00000047/00000001/art00003	Journal of the American Association for Laboratory Animal Science			VoR					1559-6109	2769-6677	https://www.ingentaconnect.com/content/aalas/jaalas											Article	2008	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Gender Dysphoria, Eating Disorders and Body Image: An Overview	Bentham Science Publishers		connect	Milano; Walter and Ambrosio; Paola and Carizzone; Francesa and De Biasio; Valeria and Foggia; Giuseppina and Capasso; Anna; 		VoR	10.2174/1871530319666191015193120			1871-5303		https://www.ingentaconnect.com/content/ben/emiddt/2020/00000020/00000004/art00004	Endocrine, Metabolic & Immune Disorders-Drug Targets (Formerly Current Drug Targets - Immune, Endocrine & Metabolic Disorders)			VoR					1871-5303		https://www.ingentaconnect.com/content/ben/emiddt											Article	2020	Controlled	Regular	Total_Item_Investigations	1	1	0
Gender Dysphoria, Eating Disorders and Body Image: An Overview	Bentham Science Publishers		connect	Milano; Walter and Ambrosio; Paola and Carizzone; Francesa and De Biasio; Valeria and Foggia; Giuseppina and Capasso; Anna; 		VoR	10.2174/1871530319666191015193120			1871-5303		https://www.ingentaconnect.com/content/ben/emiddt/2020/00000020/00000004/art00004	Endocrine, Metabolic & Immune Disorders-Drug Targets (Formerly Current Drug Targets - Immune, Endocrine & Metabolic Disorders)			VoR					1871-5303		https://www.ingentaconnect.com/content/ben/emiddt											Article	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
Gender Dysphoria, Eating Disorders and Body Image: An Overview	Bentham Science Publishers		connect	Milano; Walter and Ambrosio; Paola and Carizzone; Francesa and De Biasio; Valeria and Foggia; Giuseppina and Capasso; Anna; 		VoR	10.2174/1871530319666191015193120			1871-5303		https://www.ingentaconnect.com/content/ben/emiddt/2020/00000020/00000004/art00004	Endocrine, Metabolic & Immune Disorders-Drug Targets (Formerly Current Drug Targets - Immune, Endocrine & Metabolic Disorders)			VoR					1871-5303		https://www.ingentaconnect.com/content/ben/emiddt											Article	2020	Controlled	Regular	No_License	1	1	0
Habitat segregation and population structure of Caribbean sea anemones and associated crustaceans on coral reefs at Akumal Bay, Mexico	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect	Colombara; Alexandra M and Quinn; David and Chadwick; Nanette E; 		VoR	10.5343/bms.2017.1020			0007-4977		https://www.ingentaconnect.com/content/umrsmas/bullmar/2017/00000093/00000004/art00011	Bulletin of Marine Science			VoR					0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar											Article	2017	Controlled	Regular	Total_Item_Investigations	2	2	0
Habitat segregation and population structure of Caribbean sea anemones and associated crustaceans on coral reefs at Akumal Bay, Mexico	University of Miami - Rosenstiel School of Marine, Atmospheric & Earth Science		connect	Colombara; Alexandra M and Quinn; David and Chadwick; Nanette E; 		VoR	10.5343/bms.2017.1020			0007-4977		https://www.ingentaconnect.com/content/umrsmas/bullmar/2017/00000093/00000004/art00011	Bulletin of Marine Science			VoR					0007-4977	1553-6955	https://www.ingentaconnect.com/content/umrsmas/bullmar											Article	2017	Controlled	Regular	Total_Item_Requests	1	1	0
