Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	coherentdigital:university_of_prince_edward_island_ca
Metric_Types	
Report_Filters	Data_Type=Article|Book|Book_Segment|Dataset|Journal|Multimedia|Newspaper_or_Newsletter|Other|Repository_Item|Report|Thesis_or_Dissertation
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:40:11+00:00
Created_By	LibLynx LLC for Coherent Digital

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Educational Attainment, Migration, and Provincial Spending on Universities in Canada	Fraser Institute		Coherent Digital					artifact:11276360																										Repository_Item	2024	Controlled	Regular	Unique_Item_Investigations	1	1	0
Educational Attainment, Migration, and Provincial Spending on Universities in Canada	Fraser Institute		Coherent Digital					artifact:11276360																										Repository_Item	2024	Controlled	Regular	Total_Item_Requests	1	1	0
Educational Attainment, Migration, and Provincial Spending on Universities in Canada	Fraser Institute		Coherent Digital					artifact:11276360																										Repository_Item	2024	Controlled	Regular	Unique_Item_Requests	1	1	0
Environmental sustainability of Canadian agriculture : Agriculture écologiquement durable au Canada	desLibris		Coherent Digital					artifact:1205544																										Repository_Item	2010	Controlled	Regular	Total_Item_Investigations	1	0	1
Environmental sustainability of Canadian agriculture : Agriculture écologiquement durable au Canada	desLibris		Coherent Digital					artifact:1205544																										Repository_Item	2010	Controlled	Regular	Unique_Item_Investigations	1	0	1
From The Globe and Mail . Canada's Most Trusted News Source	Centre for the Study of Living Standards		Coherent Digital					artifact:1932829																										Repository_Item	2002	Controlled	Regular	Total_Item_Investigations	1	0	1
From The Globe and Mail . Canada's Most Trusted News Source	Centre for the Study of Living Standards		Coherent Digital					artifact:1932829																										Repository_Item	2002	Controlled	Regular	Unique_Item_Investigations	1	0	1
Ghettos in Canada’s cities? Racial segregation, ethnic enclaves and poverty	Neighbourhood Change Research Partnership		Coherent Digital					artifact:2069032																										Repository_Item	2006	Controlled	Regular	Total_Item_Investigations	2	0	2
Ghettos in Canada’s cities? Racial segregation, ethnic enclaves and poverty	Neighbourhood Change Research Partnership		Coherent Digital					artifact:2069032																										Repository_Item	2006	Controlled	Regular	Unique_Item_Investigations	2	0	2
INUIT SUBMISSION TO - Employment and Social Development Canada Regarding National Indigenous Early Learning	Inuit Tapiriit Kanatami		Coherent Digital					artifact:1818753																										Repository_Item	2017	Controlled	Regular	Total_Item_Investigations	2	2	0
INUIT SUBMISSION TO - Employment and Social Development Canada Regarding National Indigenous Early Learning	Inuit Tapiriit Kanatami		Coherent Digital					artifact:1818753																										Repository_Item	2017	Controlled	Regular	Unique_Item_Investigations	1	1	0
INUIT SUBMISSION TO - Employment and Social Development Canada Regarding National Indigenous Early Learning	Inuit Tapiriit Kanatami		Coherent Digital					artifact:1818753																										Repository_Item	2017	Controlled	Regular	Total_Item_Requests	1	1	0
INUIT SUBMISSION TO - Employment and Social Development Canada Regarding National Indigenous Early Learning	Inuit Tapiriit Kanatami		Coherent Digital					artifact:1818753																										Repository_Item	2017	Controlled	Regular	Unique_Item_Requests	1	1	0
Island Doctor : John Mackieson and Medicine in Nineteenth-Century Prince Edward Island	McGill-Queen's University Press		Coherent Digital					artifact:1866165																										Repository_Item	2003	Controlled	Regular	Total_Item_Investigations	1	0	1
Island Doctor : John Mackieson and Medicine in Nineteenth-Century Prince Edward Island	McGill-Queen's University Press		Coherent Digital					artifact:1866165																										Repository_Item	2003	Controlled	Regular	Unique_Item_Investigations	1	0	1
La grammaire philosophique du Pseudo-Robert Grosseteste (Pierre de Limoges, Pierre d’Auvergne ?) : Présentation, édition et traduction des Communia parisiens et salmantins	Les Presses de l'Université Laval		Coherent Digital					artifact:2313722																										Repository_Item	2021	Controlled	Regular	Total_Item_Investigations	1	0	1
La grammaire philosophique du Pseudo-Robert Grosseteste (Pierre de Limoges, Pierre d’Auvergne ?) : Présentation, édition et traduction des Communia parisiens et salmantins	Les Presses de l'Université Laval		Coherent Digital					artifact:2313722																										Repository_Item	2021	Controlled	Regular	Unique_Item_Investigations	1	0	1
Mar 2023 - Community-based adaptation approaches to sea level rise and health	National Collaborating Centre for Environmental Health		Coherent Digital					artifact:3524251																										Repository_Item	2023	Controlled	Regular	Total_Item_Investigations	2	2	0
Mar 2023 - Community-based adaptation approaches to sea level rise and health	National Collaborating Centre for Environmental Health		Coherent Digital					artifact:3524251																										Repository_Item	2023	Controlled	Regular	Unique_Item_Investigations	1	1	0
Mar 2023 - Community-based adaptation approaches to sea level rise and health	National Collaborating Centre for Environmental Health		Coherent Digital					artifact:3524251																										Repository_Item	2023	Controlled	Regular	Total_Item_Requests	1	1	0
Mar 2023 - Community-based adaptation approaches to sea level rise and health	National Collaborating Centre for Environmental Health		Coherent Digital					artifact:3524251																										Repository_Item	2023	Controlled	Regular	Unique_Item_Requests	1	1	0
Mouse Pet	Ronsdale Press		Coherent Digital					artifact:1880986																										Repository_Item	2015	Controlled	Regular	Total_Item_Investigations	1	1	0
Mouse Pet	Ronsdale Press		Coherent Digital					artifact:1880986																										Repository_Item	2015	Controlled	Regular	Unique_Item_Investigations	1	1	0
Nine Visits to the Mythworld : Ghandi of the Qayahl Llaanas	Harbour Publishing		Coherent Digital					artifact:1872529																										Repository_Item	2003	Controlled	Regular	Total_Item_Investigations	2	0	2
Nine Visits to the Mythworld : Ghandi of the Qayahl Llaanas	Harbour Publishing		Coherent Digital					artifact:1872529																										Repository_Item	2003	Controlled	Regular	Unique_Item_Investigations	1	0	1
Nova Scotia Health Promotion and Protection	Coherent Digital		Coherent Digital					organization:nova-scotia-health-promotion-and-protection																										Other	2021	Controlled	Regular	Total_Item_Investigations	1	1	0
Nova Scotia Health Promotion and Protection	Coherent Digital		Coherent Digital					organization:nova-scotia-health-promotion-and-protection																										Other	2021	Controlled	Regular	Unique_Item_Investigations	1	1	0
Nova Scotia Health Promotion and Protection	Coherent Digital		Coherent Digital					organization:nova-scotia-health-promotion-and-protection																										Other	2021	Controlled	Regular	Total_Item_Requests	1	1	0
Nova Scotia Health Promotion and Protection	Coherent Digital		Coherent Digital					organization:nova-scotia-health-promotion-and-protection																										Other	2021	Controlled	Regular	Unique_Item_Requests	1	1	0
Quantum Computing 101 • What is quantum computing? • Practical applicability	Institute for Citizen-Centred Service 		Coherent Digital					artifact:2390074																										Repository_Item	2022	Controlled	Regular	Total_Item_Investigations	1	0	1
Quantum Computing 101 • What is quantum computing? • Practical applicability	Institute for Citizen-Centred Service 		Coherent Digital					artifact:2390074																										Repository_Item	2022	Controlled	Regular	Unique_Item_Investigations	1	0	1
Queen Charlotte Islands coastal zone	desLibris		Coherent Digital					artifact:1215816																										Repository_Item	1988	Controlled	Regular	Total_Item_Investigations	1	1	0
Queen Charlotte Islands coastal zone	desLibris		Coherent Digital					artifact:1215816																										Repository_Item	1988	Controlled	Regular	Unique_Item_Investigations	1	1	0
Regional assessment Magdalen Islands	desLibris		Coherent Digital					artifact:1200038																										Repository_Item	2003	Controlled	Regular	Total_Item_Investigations	3	3	0
Regional assessment Magdalen Islands	desLibris		Coherent Digital					artifact:1200038																										Repository_Item	2003	Controlled	Regular	Unique_Item_Investigations	1	1	0
Regional assessment Magdalen Islands	desLibris		Coherent Digital					artifact:1200038																										Repository_Item	2003	Controlled	Regular	Total_Item_Requests	1	1	0
Regional assessment Magdalen Islands	desLibris		Coherent Digital					artifact:1200038																										Repository_Item	2003	Controlled	Regular	Unique_Item_Requests	1	1	0
School of Public Policy, University of Calgary	Coherent Digital		Coherent Digital					organization:school-of-public-policy-university-of-calgary																										Other	2021	Controlled	Regular	Total_Item_Investigations	1	0	1
