Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	aaas:20351555
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-01-31; Begin_Date=2024-01-01
Created	2024-02-23T05:29:10Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024
Are hormones a “female problem” for animal research?	American Association for the Advancement of Science		aaas	Rebecca M. Shansky; 	2021-04-26	VoR	10.1126/science.aaw7570						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2019	Controlled	Regular	Total_Item_Investigations	2	2
Are hormones a “female problem” for animal research?	American Association for the Advancement of Science		aaas	Rebecca M. Shansky; 	2021-04-26	VoR	10.1126/science.aaw7570						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2019	Controlled	Regular	Total_Item_Requests	2	2
Arrestin-dependent nuclear export of phosphodiesterase 4D promotes GPCR-induced nuclear cAMP signaling required for learning and memory	American Association for the Advancement of Science		aaas	Aleksandra Jovanovic, Jin Zhang, Ao Shen, Bing Xu, Josephine de Chabot, Joseph M. Martinez, Yang K. Xiang; 	2023-03-28	VoR	10.1126/scisignal.ade3380						Science Signaling				Journal	10.1126/signaling	aaas:signaling		1945-0877	1937-9145												Article	2023	Controlled	Regular	Unique_Item_Investigations	1	1
Arrestin-dependent nuclear export of phosphodiesterase 4D promotes GPCR-induced nuclear cAMP signaling required for learning and memory	American Association for the Advancement of Science		aaas	Aleksandra Jovanovic, Jin Zhang, Ao Shen, Bing Xu, Josephine de Chabot, Joseph M. Martinez, Yang K. Xiang; 	2023-03-28	VoR	10.1126/scisignal.ade3380						Science Signaling				Journal	10.1126/signaling	aaas:signaling		1945-0877	1937-9145												Article	2023	Controlled	Regular	Unique_Item_Requests	1	1
Arrestin-dependent nuclear export of phosphodiesterase 4D promotes GPCR-induced nuclear cAMP signaling required for learning and memory	American Association for the Advancement of Science		aaas	Aleksandra Jovanovic, Jin Zhang, Ao Shen, Bing Xu, Josephine de Chabot, Joseph M. Martinez, Yang K. Xiang; 	2023-03-28	VoR	10.1126/scisignal.ade3380						Science Signaling				Journal	10.1126/signaling	aaas:signaling		1945-0877	1937-9145												Article	2023	Controlled	Regular	Total_Item_Investigations	1	1
Arrestin-dependent nuclear export of phosphodiesterase 4D promotes GPCR-induced nuclear cAMP signaling required for learning and memory	American Association for the Advancement of Science		aaas	Aleksandra Jovanovic, Jin Zhang, Ao Shen, Bing Xu, Josephine de Chabot, Joseph M. Martinez, Yang K. Xiang; 	2023-03-28	VoR	10.1126/scisignal.ade3380						Science Signaling				Journal	10.1126/signaling	aaas:signaling		1945-0877	1937-9145												Article	2023	Controlled	Regular	Total_Item_Requests	1	1
Autoregulatory control of mitochondrial glutathione homeostasis	American Association for the Advancement of Science		aaas	Alexandra E. Pagano, Erdem Terzi, Sheref S. Mansy, Ekaterina V. Vinogradova, Nathalie Ropek, Artem Khan, Benjamin Allwein, Frederick S. Yen, Gokhan Unlu, Richard K. Hite, Ross A. Weber, Timothy C. Kenny, Ying Wang, Yuyang Liu, Richard L. Possemato, Hanan Alwaseem, Li Zhao, Mark Gad, Shanshan Liu, Anju Tomar, Henrik Molina, Kıvanç Birsoy, Søren Heissel, Junhui Peng; 	2023-11-02	VoR	10.1126/science.adf4154						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Unique_Item_Investigations	2	2
Autoregulatory control of mitochondrial glutathione homeostasis	American Association for the Advancement of Science		aaas	Alexandra E. Pagano, Erdem Terzi, Sheref S. Mansy, Ekaterina V. Vinogradova, Nathalie Ropek, Artem Khan, Benjamin Allwein, Frederick S. Yen, Gokhan Unlu, Richard K. Hite, Ross A. Weber, Timothy C. Kenny, Ying Wang, Yuyang Liu, Richard L. Possemato, Hanan Alwaseem, Li Zhao, Mark Gad, Shanshan Liu, Anju Tomar, Henrik Molina, Kıvanç Birsoy, Søren Heissel, Junhui Peng; 	2023-11-02	VoR	10.1126/science.adf4154						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Unique_Item_Requests	2	2
Autoregulatory control of mitochondrial glutathione homeostasis	American Association for the Advancement of Science		aaas	Alexandra E. Pagano, Erdem Terzi, Sheref S. Mansy, Ekaterina V. Vinogradova, Nathalie Ropek, Artem Khan, Benjamin Allwein, Frederick S. Yen, Gokhan Unlu, Richard K. Hite, Ross A. Weber, Timothy C. Kenny, Ying Wang, Yuyang Liu, Richard L. Possemato, Hanan Alwaseem, Li Zhao, Mark Gad, Shanshan Liu, Anju Tomar, Henrik Molina, Kıvanç Birsoy, Søren Heissel, Junhui Peng; 	2023-11-02	VoR	10.1126/science.adf4154						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Total_Item_Investigations	2	2
Autoregulatory control of mitochondrial glutathione homeostasis	American Association for the Advancement of Science		aaas	Alexandra E. Pagano, Erdem Terzi, Sheref S. Mansy, Ekaterina V. Vinogradova, Nathalie Ropek, Artem Khan, Benjamin Allwein, Frederick S. Yen, Gokhan Unlu, Richard K. Hite, Ross A. Weber, Timothy C. Kenny, Ying Wang, Yuyang Liu, Richard L. Possemato, Hanan Alwaseem, Li Zhao, Mark Gad, Shanshan Liu, Anju Tomar, Henrik Molina, Kıvanç Birsoy, Søren Heissel, Junhui Peng; 	2023-11-02	VoR	10.1126/science.adf4154						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Total_Item_Requests	2	2
Bacteria stitch exotic building blocks into novel proteins	American Association for the Advancement of Science		aaas		2024-01-11		10.1126/science.z1y6y48						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Unique_Item_Investigations	1	1
Bacteria stitch exotic building blocks into novel proteins	American Association for the Advancement of Science		aaas		2024-01-11		10.1126/science.z1y6y48						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Unique_Item_Requests	1	1
Bacteria stitch exotic building blocks into novel proteins	American Association for the Advancement of Science		aaas		2024-01-11		10.1126/science.z1y6y48						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Total_Item_Investigations	1	1
Bacteria stitch exotic building blocks into novel proteins	American Association for the Advancement of Science		aaas		2024-01-11		10.1126/science.z1y6y48						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Total_Item_Requests	1	1
Behavioral Economics and the Retirement Savings Crisis	American Association for the Advancement of Science		aaas	Richard H. Thaler, Shlomo Benartzi; 	2021-04-25	VoR	10.1126/science.1231320						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2013	Controlled	Regular	Unique_Item_Investigations	1	1
Behavioral Economics and the Retirement Savings Crisis	American Association for the Advancement of Science		aaas	Richard H. Thaler, Shlomo Benartzi; 	2021-04-25	VoR	10.1126/science.1231320						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2013	Controlled	Regular	Unique_Item_Requests	1	1
Behavioral Economics and the Retirement Savings Crisis	American Association for the Advancement of Science		aaas	Richard H. Thaler, Shlomo Benartzi; 	2021-04-25	VoR	10.1126/science.1231320						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2013	Controlled	Regular	Total_Item_Investigations	1	1
Behavioral Economics and the Retirement Savings Crisis	American Association for the Advancement of Science		aaas	Richard H. Thaler, Shlomo Benartzi; 	2021-04-25	VoR	10.1126/science.1231320						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2013	Controlled	Regular	Total_Item_Requests	1	1
Black community members, scientists object to plan to bury skulls from Philadelphia museum	American Association for the Advancement of Science		aaas		2024-01-23		10.1126/science.z3qyeke						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Unique_Item_Investigations	1	1
Black community members, scientists object to plan to bury skulls from Philadelphia museum	American Association for the Advancement of Science		aaas		2024-01-23		10.1126/science.z3qyeke						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Unique_Item_Requests	1	1
Black community members, scientists object to plan to bury skulls from Philadelphia museum	American Association for the Advancement of Science		aaas		2024-01-23		10.1126/science.z3qyeke						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Total_Item_Investigations	1	1
Black community members, scientists object to plan to bury skulls from Philadelphia museum	American Association for the Advancement of Science		aaas		2024-01-23		10.1126/science.z3qyeke						Articles				Other	10.1126/article	aaas:article															Other	2024	Controlled	Regular	Total_Item_Requests	1	1
Boom-bust cycles in gray whales associated with dynamic and changing Arctic conditions	American Association for the Advancement of Science		aaas	Deborah Fauquier, Jacqueline M. Grebmeier, John Calambokidis, Holly Fearnbach, Joshua D. Stewart, David W. Weller, M. Tim Tinker, Wayne L. Perryman, John W. Durban, Manfredi Manizza, Morgan Lynn, Trevor W. Joyce; 	2023-10-12	VoR	10.1126/science.adi1847						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Unique_Item_Investigations	2	2
Boom-bust cycles in gray whales associated with dynamic and changing Arctic conditions	American Association for the Advancement of Science		aaas	Deborah Fauquier, Jacqueline M. Grebmeier, John Calambokidis, Holly Fearnbach, Joshua D. Stewart, David W. Weller, M. Tim Tinker, Wayne L. Perryman, John W. Durban, Manfredi Manizza, Morgan Lynn, Trevor W. Joyce; 	2023-10-12	VoR	10.1126/science.adi1847						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Unique_Item_Requests	2	2
Boom-bust cycles in gray whales associated with dynamic and changing Arctic conditions	American Association for the Advancement of Science		aaas	Deborah Fauquier, Jacqueline M. Grebmeier, John Calambokidis, Holly Fearnbach, Joshua D. Stewart, David W. Weller, M. Tim Tinker, Wayne L. Perryman, John W. Durban, Manfredi Manizza, Morgan Lynn, Trevor W. Joyce; 	2023-10-12	VoR	10.1126/science.adi1847						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Total_Item_Investigations	2	2
Boom-bust cycles in gray whales associated with dynamic and changing Arctic conditions	American Association for the Advancement of Science		aaas	Deborah Fauquier, Jacqueline M. Grebmeier, John Calambokidis, Holly Fearnbach, Joshua D. Stewart, David W. Weller, M. Tim Tinker, Wayne L. Perryman, John W. Durban, Manfredi Manizza, Morgan Lynn, Trevor W. Joyce; 	2023-10-12	VoR	10.1126/science.adi1847						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2023	Controlled	Regular	Total_Item_Requests	2	2
Caloric Restriction Delays Disease Onset and Mortality in Rhesus Monkeys	American Association for the Advancement of Science		aaas	Christina Cruzen, David B. Allison, Erik K. Kastman, Heather A. Simmons, Joseph W. Kemnitz, Kristopher J. Kosmatka, Richard Weindruch, Ricki J. Colman, Rozalyn M. Anderson, Sterling C. Johnson, T. Mark Beasley; 	2021-04-28	VoR	10.1126/science.1173635						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2009	Controlled	Regular	Unique_Item_Investigations	1	1
Caloric Restriction Delays Disease Onset and Mortality in Rhesus Monkeys	American Association for the Advancement of Science		aaas	Christina Cruzen, David B. Allison, Erik K. Kastman, Heather A. Simmons, Joseph W. Kemnitz, Kristopher J. Kosmatka, Richard Weindruch, Ricki J. Colman, Rozalyn M. Anderson, Sterling C. Johnson, T. Mark Beasley; 	2021-04-28	VoR	10.1126/science.1173635						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2009	Controlled	Regular	Unique_Item_Requests	1	1
Caloric Restriction Delays Disease Onset and Mortality in Rhesus Monkeys	American Association for the Advancement of Science		aaas	Christina Cruzen, David B. Allison, Erik K. Kastman, Heather A. Simmons, Joseph W. Kemnitz, Kristopher J. Kosmatka, Richard Weindruch, Ricki J. Colman, Rozalyn M. Anderson, Sterling C. Johnson, T. Mark Beasley; 	2021-04-28	VoR	10.1126/science.1173635						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2009	Controlled	Regular	Total_Item_Investigations	1	1
Caloric Restriction Delays Disease Onset and Mortality in Rhesus Monkeys	American Association for the Advancement of Science		aaas	Christina Cruzen, David B. Allison, Erik K. Kastman, Heather A. Simmons, Joseph W. Kemnitz, Kristopher J. Kosmatka, Richard Weindruch, Ricki J. Colman, Rozalyn M. Anderson, Sterling C. Johnson, T. Mark Beasley; 	2021-04-28	VoR	10.1126/science.1173635						Science				Journal	10.1126/science	aaas:science		0036-8075	1095-9203												Article	2009	Controlled	Regular	Total_Item_Requests	1	1
Can anonymous faculty searches boost diversity?	American Association for the Advancement of Science		aaas		2021-08-03		10.1126/science.caredit.abl7645						Articles				Other	10.1126/article	aaas:article															Other	2021	Controlled	Regular	Unique_Item_Investigations	1	1
Can anonymous faculty searches boost diversity?	American Association for the Advancement of Science		aaas		2021-08-03		10.1126/science.caredit.abl7645						Articles				Other	10.1126/article	aaas:article															Other	2021	Controlled	Regular	Unique_Item_Requests	1	1
