Report_Name	Title Master Report
Report_ID	TR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	
Metric_Types	
Report_Filters	Data_Type=Book|Journal; Access_Method=Regular
Report_Attributes	Attributes_To_Show=Data_Type|Section_Type|YOP|Access_Type|Access_Method
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T01:46:10Z
Created_By	IGI Global e-Resources Platform

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Data_Type	Section_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Journal of Business Ecosystems (JBE)	IGI Global		IGI Global e-Resources Platform				2644-1810	2644-1829		Journal	Article	2023	OA_Gold	Regular	Total_Item_Requests	2	2	0
Journal of Business Ecosystems (JBE)	IGI Global		IGI Global e-Resources Platform				2644-1810	2644-1829		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Journal of Global Information Management (JGIM)	IGI Global		IGI Global e-Resources Platform				1062-7375	1533-7995		Journal	Article	2022	OA_Gold	Regular	Total_Item_Investigations	26	3	23
Journal of Global Information Management (JGIM)	IGI Global		IGI Global e-Resources Platform				1062-7375	1533-7995		Journal	Article	2022	OA_Gold	Regular	Unique_Item_Investigations	7	2	5
Journal of Global Information Management (JGIM)	IGI Global		IGI Global e-Resources Platform				1062-7375	1533-7995		Journal	Article	2022	OA_Gold	Regular	Total_Item_Requests	12	1	11
Journal of Global Information Management (JGIM)	IGI Global		IGI Global e-Resources Platform				1062-7375	1533-7995		Journal	Article	2022	OA_Gold	Regular	Unique_Item_Requests	5	1	4
Journal of Global Information Management (JGIM)	IGI Global		IGI Global e-Resources Platform				1062-7375	1533-7995		Journal	Article	2023	OA_Gold	Regular	Total_Item_Investigations	2	0	2
Journal of Global Information Management (JGIM)	IGI Global		IGI Global e-Resources Platform				1062-7375	1533-7995		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	0	1
Journal of Global Information Management (JGIM)	IGI Global		IGI Global e-Resources Platform				1062-7375	1533-7995		Journal	Article	2023	OA_Gold	Regular	Total_Item_Requests	1	0	1
Journal of Global Information Management (JGIM)	IGI Global		IGI Global e-Resources Platform				1062-7375	1533-7995		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	0	1
Journal of Organizational and End User Computing (JOEUC)	IGI Global		IGI Global e-Resources Platform				1546-2234	1546-5012		Journal	Article	2023	OA_Gold	Regular	Total_Item_Investigations	2	0	2
Journal of Organizational and End User Computing (JOEUC)	IGI Global		IGI Global e-Resources Platform				1546-2234	1546-5012		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	0	1
Journal of Organizational and End User Computing (JOEUC)	IGI Global		IGI Global e-Resources Platform				1546-2234	1546-5012		Journal	Article	2023	OA_Gold	Regular	Total_Item_Requests	1	0	1
Journal of Organizational and End User Computing (JOEUC)	IGI Global		IGI Global e-Resources Platform				1546-2234	1546-5012		Journal	Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	0	1
New Models for Technical and Vocational Education and Training	IGI Global		IGI Global e-Resources Platform			978-1-7998-2607-1				Book	Chapter	2021	Controlled	Regular	Total_Item_Investigations	1	0	1
New Models for Technical and Vocational Education and Training	IGI Global		IGI Global e-Resources Platform			978-1-7998-2607-1				Book	Chapter	2021	Controlled	Regular	Unique_Item_Investigations	1	0	1
New Models for Technical and Vocational Education and Training	IGI Global		IGI Global e-Resources Platform			978-1-7998-2607-1				Book	Chapter	2021	Controlled	Regular	No_License	1	0	1
New Models for Technical and Vocational Education and Training	IGI Global		IGI Global e-Resources Platform			978-1-7998-2607-1				Book		2021	Controlled	Regular	Unique_Title_Investigations	1	0	1
New Models for Technical and Vocational Education and Training	IGI Global		IGI Global e-Resources Platform			978-1-7998-2607-1				Book		2021	Controlled	Regular	No_License	1	0	1
Preparing Globally Competent Professionals and Leaders for Innovation and Sustainability	IGI Global		IGI Global e-Resources Platform			978-1-6684-4528-0				Book	Book	2022	Controlled	Regular	Total_Item_Investigations	8	0	8
Preparing Globally Competent Professionals and Leaders for Innovation and Sustainability	IGI Global		IGI Global e-Resources Platform			978-1-6684-4528-0				Book	Book	2022	Controlled	Regular	Unique_Item_Investigations	5	0	5
Preparing Globally Competent Professionals and Leaders for Innovation and Sustainability	IGI Global		IGI Global e-Resources Platform			978-1-6684-4528-0				Book		2022	Controlled	Regular	Unique_Title_Investigations	6	0	6
Preparing Globally Competent Professionals and Leaders for Innovation and Sustainability	IGI Global		IGI Global e-Resources Platform			978-1-6684-4528-0				Book		2022	Controlled	Regular	Unique_Title_Requests	3	0	3
Preparing Globally Competent Professionals and Leaders for Innovation and Sustainability	IGI Global		IGI Global e-Resources Platform			978-1-6684-4528-0				Book	Chapter	2022	Controlled	Regular	Total_Item_Investigations	7	0	7
Preparing Globally Competent Professionals and Leaders for Innovation and Sustainability	IGI Global		IGI Global e-Resources Platform			978-1-6684-4528-0				Book	Chapter	2022	Controlled	Regular	Unique_Item_Investigations	3	0	3
Preparing Globally Competent Professionals and Leaders for Innovation and Sustainability	IGI Global		IGI Global e-Resources Platform			978-1-6684-4528-0				Book	Chapter	2022	Controlled	Regular	Total_Item_Requests	7	0	7
Preparing Globally Competent Professionals and Leaders for Innovation and Sustainability	IGI Global		IGI Global e-Resources Platform			978-1-6684-4528-0				Book	Chapter	2022	Controlled	Regular	Unique_Item_Requests	5	0	5
