Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T07:49:17Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Manual of Animal Andrology	CABI		CABI Digital Library	10.1079/9781789243505.0000		978-1-78924-351-2				2022	Controlled	Total_Item_Requests	1	1	0
Manual of Animal Andrology	CABI		CABI Digital Library	10.1079/9781789243505.0000		978-1-78924-351-2				2022	Controlled	Unique_Title_Investigations	1	1	0
Manual of Animal Andrology	CABI		CABI Digital Library	10.1079/9781789243505.0000		978-1-78924-351-2				2022	Controlled	Unique_Title_Requests	1	1	0
Protozoal abortion in farm ruminants: guidelines for diagnosis and control	CABI		CABI Digital Library	10.1079/9781845932114.0000		978-1-84593-212-1				2007	Controlled	Unique_Item_Investigations	1	1	0
Protozoal abortion in farm ruminants: guidelines for diagnosis and control	CABI		CABI Digital Library	10.1079/9781845932114.0000		978-1-84593-212-1				2007	Controlled	Unique_Item_Requests	1	1	0
Protozoal abortion in farm ruminants: guidelines for diagnosis and control	CABI		CABI Digital Library	10.1079/9781845932114.0000		978-1-84593-212-1				2007	Controlled	Total_Item_Investigations	1	1	0
Protozoal abortion in farm ruminants: guidelines for diagnosis and control	CABI		CABI Digital Library	10.1079/9781845932114.0000		978-1-84593-212-1				2007	Controlled	Total_Item_Requests	1	1	0
Protozoal abortion in farm ruminants: guidelines for diagnosis and control	CABI		CABI Digital Library	10.1079/9781845932114.0000		978-1-84593-212-1				2007	Controlled	Unique_Title_Investigations	1	1	0
Protozoal abortion in farm ruminants: guidelines for diagnosis and control	CABI		CABI Digital Library	10.1079/9781845932114.0000		978-1-84593-212-1				2007	Controlled	Unique_Title_Requests	1	1	0
Rodent pests and their control	CABI		CABI Digital Library	10.1079/9781845938178.0000		978-1-78064-129-4				2015	Controlled	Unique_Item_Investigations	4	2	2
Rodent pests and their control	CABI		CABI Digital Library	10.1079/9781845938178.0000		978-1-78064-129-4				2015	Controlled	Unique_Item_Requests	1	0	1
Rodent pests and their control	CABI		CABI Digital Library	10.1079/9781845938178.0000		978-1-78064-129-4				2015	Controlled	Total_Item_Investigations	4	2	2
Rodent pests and their control	CABI		CABI Digital Library	10.1079/9781845938178.0000		978-1-78064-129-4				2015	Controlled	Total_Item_Requests	1	0	1
Rodent pests and their control	CABI		CABI Digital Library	10.1079/9781845938178.0000		978-1-78064-129-4				2015	Controlled	Unique_Title_Investigations	4	2	2
Rodent pests and their control	CABI		CABI Digital Library	10.1079/9781845938178.0000		978-1-78064-129-4				2015	Controlled	Unique_Title_Requests	1	0	1
Small animal veterinary psychiatry	CABI		CABI Digital Library	10.1079/9781786394552.0000		978-1-78639-456-9				2021	Controlled	Unique_Item_Investigations	1	1	0
