Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:03:49Z
Created_By	Taylor & Francis

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A comparison of reading aloud, silent reading and follower reading. Which is best for comprehension? / Una comparación de lectura en voz alta, lectura en silencio y lectura de seguimiento. ¿Cuál es mejor para la comprensión?	Routledge		Taylor & Francis Online	María-Ángeles Melero, María-Belén Izquierdo, Héctor García-Rodicio; 	2017-09-06	VoR	10.1080/02103702.2017.1364038						Journal for the Study of Education and Development				Journal	10.1080/riya20	tandf:riya20		0210-3702	1578-4126												Article	2017	Controlled	Regular	Unique_Item_Requests	1	1	0
A comparison of reading aloud, silent reading and follower reading. Which is best for comprehension? / Una comparación de lectura en voz alta, lectura en silencio y lectura de seguimiento. ¿Cuál es mejor para la comprensión?	Routledge		Taylor & Francis Online	María-Ángeles Melero, María-Belén Izquierdo, Héctor García-Rodicio; 	2017-09-06	VoR	10.1080/02103702.2017.1364038						Journal for the Study of Education and Development				Journal	10.1080/riya20	tandf:riya20		0210-3702	1578-4126												Article	2017	Controlled	Regular	Total_Item_Investigations	3	3	0
A comparison of reading aloud, silent reading and follower reading. Which is best for comprehension? / Una comparación de lectura en voz alta, lectura en silencio y lectura de seguimiento. ¿Cuál es mejor para la comprensión?	Routledge		Taylor & Francis Online	María-Ángeles Melero, María-Belén Izquierdo, Héctor García-Rodicio; 	2017-09-06	VoR	10.1080/02103702.2017.1364038						Journal for the Study of Education and Development				Journal	10.1080/riya20	tandf:riya20		0210-3702	1578-4126												Article	2017	Controlled	Regular	Total_Item_Requests	3	3	0
A complexity-informed examination of educational development services of a university’s teaching and learning centre	Routledge		Taylor & Francis Online	Cheryl Poth, Janice Miller-Young, Luis (Francisco) Vargas-Madriz; 	2023-12-27	VoR	10.1080/1360144X.2023.2286983						International Journal for Academic Development				Journal	10.1080/rija20	tandf:rija20		1360-144X	1470-1324												Article	9999	Controlled	Regular	Unique_Item_Investigations	10	10	0
A complexity-informed examination of educational development services of a university’s teaching and learning centre	Routledge		Taylor & Francis Online	Cheryl Poth, Janice Miller-Young, Luis (Francisco) Vargas-Madriz; 	2023-12-27	VoR	10.1080/1360144X.2023.2286983						International Journal for Academic Development				Journal	10.1080/rija20	tandf:rija20		1360-144X	1470-1324												Article	9999	Controlled	Regular	Unique_Item_Requests	7	7	0
A complexity-informed examination of educational development services of a university’s teaching and learning centre	Routledge		Taylor & Francis Online	Cheryl Poth, Janice Miller-Young, Luis (Francisco) Vargas-Madriz; 	2023-12-27	VoR	10.1080/1360144X.2023.2286983						International Journal for Academic Development				Journal	10.1080/rija20	tandf:rija20		1360-144X	1470-1324												Article	9999	Controlled	Regular	Total_Item_Investigations	14	14	0
A complexity-informed examination of educational development services of a university’s teaching and learning centre	Routledge		Taylor & Francis Online	Cheryl Poth, Janice Miller-Young, Luis (Francisco) Vargas-Madriz; 	2023-12-27	VoR	10.1080/1360144X.2023.2286983						International Journal for Academic Development				Journal	10.1080/rija20	tandf:rija20		1360-144X	1470-1324												Article	9999	Controlled	Regular	Total_Item_Requests	10	10	0
A Critique and Synthesis of Biological Essentialism and Social Constructionist Views of Sexuality and Gender	Routledge		Taylor & Francis Online	John P. DeCecco, John P. Elia; 	2010-10-18	VoR	10.1300/J082v24n03_01						Journal of Homosexuality				Journal	10.1080/wjhm20	tandf:wjhm20		0091-8369	1540-3602												Article	1993	Controlled	Regular	Unique_Item_Investigations	1	1	0
A Critique and Synthesis of Biological Essentialism and Social Constructionist Views of Sexuality and Gender	Routledge		Taylor & Francis Online	John P. DeCecco, John P. Elia; 	2010-10-18	VoR	10.1300/J082v24n03_01						Journal of Homosexuality				Journal	10.1080/wjhm20	tandf:wjhm20		0091-8369	1540-3602												Article	1993	Controlled	Regular	Total_Item_Investigations	2	2	0
A Critique and Synthesis of Biological Essentialism and Social Constructionist Views of Sexuality and Gender	Routledge		Taylor & Francis Online	John P. DeCecco, John P. Elia; 	2010-10-18	VoR	10.1300/J082v24n03_01						Journal of Homosexuality				Journal	10.1080/wjhm20	tandf:wjhm20		0091-8369	1540-3602												Article	1993	Controlled	Regular	No_License	1	1	0
