Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:45Z
Created_By	Gale

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
International Journal of Digital Literacy and Digital Competence	IGI Global		Gale		gale:9BXI	1947-3494			2019	Total_Item_Requests	2	0	2
International Journal of Digital Literacy and Digital Competence	IGI Global		Gale		gale:9BXI	1947-3494			2019	Unique_Item_Requests	1	0	1
International Journal of Mobile and Blended Learning	IGI Global		Gale		gale:9BXF	1941-8647			2022	Total_Item_Requests	2	2	0
International Journal of Mobile and Blended Learning	IGI Global		Gale		gale:9BXF	1941-8647			2022	Unique_Item_Requests	1	1	0
International Journal of Operations Research and Information Systems (IJORIS)	IGI Global		Gale		gale:55JX	1947-9328			2017	Total_Item_Requests	1	0	1
International Journal of Operations Research and Information Systems (IJORIS)	IGI Global		Gale		gale:55JX	1947-9328			2017	Unique_Item_Requests	1	0	1
International Journal of Organizational Leadership	Ardabil Industrial Management Institute		Gale		gale:8PIS	2383-1103			2022	Total_Item_Requests	3	0	3
International Journal of Organizational Leadership	Ardabil Industrial Management Institute		Gale		gale:8PIS	2383-1103			2022	Unique_Item_Requests	2	0	2
International Journal of Organizational Leadership	Ardabil Industrial Management Institute		Gale		gale:8PIS	2383-1103			2023	Total_Item_Requests	1	0	1
International Journal of Organizational Leadership	Ardabil Industrial Management Institute		Gale		gale:8PIS	2383-1103			2023	Unique_Item_Requests	1	0	1
International Migration Review	Sage Publications, Inc.		Gale		gale:2247	0197-9183			2005	Total_Item_Requests	2	2	0
International Migration Review	Sage Publications, Inc.		Gale		gale:2247	0197-9183			2005	Unique_Item_Requests	1	1	0
International Small Business Journal	Sage Publications Ltd. (UK)		Gale		gale:0DQU	0266-2426			1996	Total_Item_Requests	1	0	1
International Small Business Journal	Sage Publications Ltd. (UK)		Gale		gale:0DQU	0266-2426			1996	Unique_Item_Requests	1	0	1
ISAA Review: journal of the Independent Scholars Association of Australia	Independent Scholars Association of Australia Inc.		Gale		gale:1UJZ	1444-0881			2016	Total_Item_Requests	1	1	0
ISAA Review: journal of the Independent Scholars Association of Australia	Independent Scholars Association of Australia Inc.		Gale		gale:1UJZ	1444-0881			2016	Unique_Item_Requests	1	1	0
Island Studies Journal	Institute of Island Studies		Gale		gale:9CBI	1715-2593			2021	Total_Item_Requests	1	0	1
Island Studies Journal	Institute of Island Studies		Gale		gale:9CBI	1715-2593			2021	Unique_Item_Requests	1	0	1
Journal of Agricultural Education	American Association for Agricultural Education		Gale		gale:4JTL	1042-0541			2022	Total_Item_Requests	2	0	2
Journal of Agricultural Education	American Association for Agricultural Education		Gale		gale:4JTL	1042-0541			2022	Unique_Item_Requests	1	0	1
Journal of Avian Medicine and Surgery	Association of Avian Veterinarians		Gale		gale:1AJZ	1082-6742			2018	Total_Item_Requests	1	0	1
Journal of Avian Medicine and Surgery	Association of Avian Veterinarians		Gale		gale:1AJZ	1082-6742			2018	Unique_Item_Requests	1	0	1
Journal of Avian Medicine and Surgery	Association of Avian Veterinarians		Gale		gale:1AJZ	1082-6742			2023	Total_Item_Requests	1	0	1
