Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version; Include_Parent_Details=True
Exceptions	3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T07:45:32Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Clinical Care and Health Disparities*	Annual Reviews		Annual Reviews	B. Starfield, D. Mangin, J. Gérvas; 	2012-03-19	VoR	10.1146/annurev-publhealth-031811-124528						Annual Review of Public Health				Journal	10.1146/publhealth.717	ar:publhealth		0163-7525	1545-2093												Article	2012	Controlled	Regular	Total_Item_Investigations	1	1	0
Conceptualizing Stigma	Annual Reviews		Annual Reviews	Bruce G. Link, Jo C. Phelan; 	2003-11-28	VoR	10.1146/annurev.soc.27.1.363						Annual Review of Sociology				Journal	10.1146/soc.718	ar:soc		0360-0572	1545-2115												Article	2001	Controlled	Regular	Unique_Item_Investigations	1	0	1
Conceptualizing Stigma	Annual Reviews		Annual Reviews	Bruce G. Link, Jo C. Phelan; 	2003-11-28	VoR	10.1146/annurev.soc.27.1.363						Annual Review of Sociology				Journal	10.1146/soc.718	ar:soc		0360-0572	1545-2115												Article	2001	Controlled	Regular	Total_Item_Investigations	1	0	1
Corporate Taxation	Annual Reviews		Annual Reviews	Clemens Fuest, Florian Neumeier; 	2023-09-13	VoR	10.1146/annurev-economics-082322-014747						Annual Review of Economics				Journal	10.1146/economics	ar:economics		1941-1383	1941-1391												Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	0	1
Corporate Taxation	Annual Reviews		Annual Reviews	Clemens Fuest, Florian Neumeier; 	2023-09-13	VoR	10.1146/annurev-economics-082322-014747						Annual Review of Economics				Journal	10.1146/economics	ar:economics		1941-1383	1941-1391												Article	2023	OA_Gold	Regular	Unique_Item_Requests	1	0	1
Corporate Taxation	Annual Reviews		Annual Reviews	Clemens Fuest, Florian Neumeier; 	2023-09-13	VoR	10.1146/annurev-economics-082322-014747						Annual Review of Economics				Journal	10.1146/economics	ar:economics		1941-1383	1941-1391												Article	2023	OA_Gold	Regular	Total_Item_Investigations	1	0	1
Corporate Taxation	Annual Reviews		Annual Reviews	Clemens Fuest, Florian Neumeier; 	2023-09-13	VoR	10.1146/annurev-economics-082322-014747						Annual Review of Economics				Journal	10.1146/economics	ar:economics		1941-1383	1941-1391												Article	2023	OA_Gold	Regular	Total_Item_Requests	1	0	1
CREB AND MEMORY	Annual Reviews		Annual Reviews	Alcino J. Silva, Jeffrey H. Kogan, Paul W. Frankland, Satoshi Kida; 	2003-11-28	VoR	10.1146/annurev.neuro.21.1.127						Annual Review of Neuroscience				Journal	10.1146/neuro.662	ar:neuro		0147-006X	1545-4126												Article	1998	Controlled	Regular	Unique_Item_Investigations	1	0	1
CREB AND MEMORY	Annual Reviews		Annual Reviews	Alcino J. Silva, Jeffrey H. Kogan, Paul W. Frankland, Satoshi Kida; 	2003-11-28	VoR	10.1146/annurev.neuro.21.1.127						Annual Review of Neuroscience				Journal	10.1146/neuro.662	ar:neuro		0147-006X	1545-4126												Article	1998	Controlled	Regular	Total_Item_Investigations	1	0	1
Critical Race Theory: Confronting, Challenging, and Rethinking White Privilege	Annual Reviews		Annual Reviews	Kalwant Bhopal; 	2023-07-31	VoR	10.1146/annurev-soc-031021-123710						Annual Review of Sociology				Journal	10.1146/soc.718	ar:soc		0360-0572	1545-2115												Article	2023	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
