Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular; Access_Type=Controlled
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:03:00Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Clinical Child Psychology and Psychiatry	SAGE Publications		SAGE Journals	10.1177/ccpa	sage:ccpa	1359-1045	1461-7021		Unique_Item_Requests	4	4	0
Clinical Child Psychology and Psychiatry	SAGE Publications		SAGE Journals	10.1177/ccpa	sage:ccpa	1359-1045	1461-7021		Total_Item_Requests	6	6	0
Clinical Nursing Research	SAGE Publications		SAGE Journals	10.1177/cnra	sage:cnra	1054-7738	1552-3799		Unique_Item_Requests	8	8	0
Clinical Nursing Research	SAGE Publications		SAGE Journals	10.1177/cnra	sage:cnra	1054-7738	1552-3799		Total_Item_Requests	11	11	0
Clinical Psychological Science	SAGE Publications		SAGE Journals	10.1177/cpxa	sage:cpxa	2167-7026	2167-7034		Unique_Item_Requests	5	5	0
Clinical Psychological Science	SAGE Publications		SAGE Journals	10.1177/cpxa	sage:cpxa	2167-7026	2167-7034		Total_Item_Requests	5	5	0
Communication Research	SAGE Publications		SAGE Journals	10.1177/crxa	sage:crxa	0093-6502	1552-3810		Unique_Item_Requests	1	1	0
Communication Research	SAGE Publications		SAGE Journals	10.1177/crxa	sage:crxa	0093-6502	1552-3810		Total_Item_Requests	1	1	0
Community College Review	SAGE Publications		SAGE Journals	10.1177/crwa	sage:crwa	0091-5521	1940-2325		Unique_Item_Requests	1	1	0
Community College Review	SAGE Publications		SAGE Journals	10.1177/crwa	sage:crwa	0091-5521	1940-2325		Total_Item_Requests	1	1	0
Community Health Equity Research & Policy	SAGE Publications		SAGE Journals	10.1177/qchb	sage:qchb	2752-535X	2752-5368		Unique_Item_Requests	1	1	0
Community Health Equity Research & Policy	SAGE Publications		SAGE Journals	10.1177/qchb	sage:qchb	2752-535X	2752-5368		Total_Item_Requests	1	1	0
Comparative Political Studies	SAGE Publications		SAGE Journals	10.1177/cpsa	sage:cpsa	0010-4140	1552-3829		Unique_Item_Requests	1	1	0
Comparative Political Studies	SAGE Publications		SAGE Journals	10.1177/cpsa	sage:cpsa	0010-4140	1552-3829		Total_Item_Requests	1	1	0
Contemporary Issues in Early Childhood	SAGE Publications		SAGE Journals	10.1177/ciea	sage:ciea	1463-9491	1463-9491		Unique_Item_Requests	1	1	0
Contemporary Issues in Early Childhood	SAGE Publications		SAGE Journals	10.1177/ciea	sage:ciea	1463-9491	1463-9491		Total_Item_Requests	3	3	0
Convergence	SAGE Publications		SAGE Journals	10.1177/cona	sage:cona	1354-8565	1748-7382		Unique_Item_Requests	1	1	0
Convergence	SAGE Publications		SAGE Journals	10.1177/cona	sage:cona	1354-8565	1748-7382		Total_Item_Requests	1	1	0
Cornell Hospitality Quarterly	SAGE Publications		SAGE Journals	10.1177/cqxb	sage:cqxb	1938-9655	1938-9663		Unique_Item_Requests	2	2	0
Cornell Hospitality Quarterly	SAGE Publications		SAGE Journals	10.1177/cqxb	sage:cqxb	1938-9655	1938-9663		Total_Item_Requests	2	2	0
Creative Nursing	SAGE Publications		SAGE Journals	10.1177/cnga	sage:cnga	1078-4535	1946-1895		Unique_Item_Requests	2	2	0
Creative Nursing	SAGE Publications		SAGE Journals	10.1177/cnga	sage:cnga	1078-4535	1946-1895		Total_Item_Requests	5	5	0
Criminology & Criminal Justice	SAGE Publications		SAGE Journals	10.1177/crjb	sage:crjb	1748-8958	1748-8966		Unique_Item_Requests	2	2	0
Criminology & Criminal Justice	SAGE Publications		SAGE Journals	10.1177/crjb	sage:crjb	1748-8958	1748-8966		Total_Item_Requests	2	2	0
Critical Research on Religion	SAGE Publications		SAGE Journals	10.1177/crra	sage:crra	2050-3032	2050-3040		Unique_Item_Requests	1	1	0
Critical Research on Religion	SAGE Publications		SAGE Journals	10.1177/crra	sage:crra	2050-3032	2050-3040		Total_Item_Requests	1	1	0
Critical Sociology	SAGE Publications		SAGE Journals	10.1177/crsb	sage:crsb	0896-9205	1569-1632		Unique_Item_Requests	1	1	0
Critical Sociology	SAGE Publications		SAGE Journals	10.1177/crsb	sage:crsb	0896-9205	1569-1632		Total_Item_Requests	1	1	0
Cross-Cultural Research	SAGE Publications		SAGE Journals	10.1177/ccrc	sage:ccrc	1069-3971	1552-3578		Unique_Item_Requests	2	2	0
Cross-Cultural Research	SAGE Publications		SAGE Journals	10.1177/ccrc	sage:ccrc	1069-3971	1552-3578		Total_Item_Requests	4	4	0
Culture & Psychology	SAGE Publications		SAGE Journals	10.1177/capa	sage:capa	1354-067X	1461-7056		Unique_Item_Requests	1	1	0
Culture & Psychology	SAGE Publications		SAGE Journals	10.1177/capa	sage:capa	1354-067X	1461-7056		Total_Item_Requests	1	1	0
Current Directions in Psychological Science	SAGE Publications		SAGE Journals	10.1177/cdpa	sage:cdpa	0963-7214	1467-8721		Unique_Item_Requests	6	6	0
Current Directions in Psychological Science	SAGE Publications		SAGE Journals	10.1177/cdpa	sage:cdpa	0963-7214	1467-8721		Total_Item_Requests	6	6	0
Dementia	SAGE Publications		SAGE Journals	10.1177/dema	sage:dema	1471-3012	1741-2684		Unique_Item_Requests	2	2	0
Dementia	SAGE Publications		SAGE Journals	10.1177/dema	sage:dema	1471-3012	1741-2684		Total_Item_Requests	2	2	0
E-Learning and Digital Media	SAGE Publications		SAGE Journals	10.1177/ldma	sage:ldma	2042-7530	2042-7530		Unique_Item_Requests	5	5	0
E-Learning and Digital Media	SAGE Publications		SAGE Journals	10.1177/ldma	sage:ldma	2042-7530	2042-7530		Total_Item_Requests	11	11	0
Education, Citizenship and Social Justice	SAGE Publications		SAGE Journals	10.1177/esja	sage:esja	1746-1979	1746-1987		Unique_Item_Requests	3	3	0
Education, Citizenship and Social Justice	SAGE Publications		SAGE Journals	10.1177/esja	sage:esja	1746-1979	1746-1987		Total_Item_Requests	3	3	0
Educational Administration Quarterly	SAGE Publications		SAGE Journals	10.1177/eaqa	sage:eaqa	0013-161X	1552-3519		Unique_Item_Requests	2	2	0
Educational Administration Quarterly	SAGE Publications		SAGE Journals	10.1177/eaqa	sage:eaqa	0013-161X	1552-3519		Total_Item_Requests	2	2	0
Educational and Psychological Measurement	SAGE Publications		SAGE Journals	10.1177/epma	sage:epma	0013-1644	1552-3888		Unique_Item_Requests	1	1	0
Educational and Psychological Measurement	SAGE Publications		SAGE Journals	10.1177/epma	sage:epma	0013-1644	1552-3888		Total_Item_Requests	1	1	0
