Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:02:12Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A mad yearning for solitude: Timon the Misanthrope and his relevance to the study of ancient psychopathology	SAGE Publications		SAGE Journals	10.1177/0957154X231157187						Total_Item_Requests	3	3	0
A mad yearning for solitude: Timon the Misanthrope and his relevance to the study of ancient psychopathology	SAGE Publications		SAGE Journals	10.1177/0957154X231157187						Total_Item_Investigations	3	3	0
A Morphological Study of 608 Cases of Canine Malignant Lymphoma in France With a Focus on Comparative Similarities Between Canine and Human Lymphoma Morphology	SAGE Publications		SAGE Journals	10.1177/0300985810363902						Unique_Item_Investigations	1	1	0
A Morphological Study of 608 Cases of Canine Malignant Lymphoma in France With a Focus on Comparative Similarities Between Canine and Human Lymphoma Morphology	SAGE Publications		SAGE Journals	10.1177/0300985810363902						Unique_Item_Requests	1	1	0
A Morphological Study of 608 Cases of Canine Malignant Lymphoma in France With a Focus on Comparative Similarities Between Canine and Human Lymphoma Morphology	SAGE Publications		SAGE Journals	10.1177/0300985810363902						Total_Item_Requests	1	1	0
A Morphological Study of 608 Cases of Canine Malignant Lymphoma in France With a Focus on Comparative Similarities Between Canine and Human Lymphoma Morphology	SAGE Publications		SAGE Journals	10.1177/0300985810363902						Total_Item_Investigations	1	1	0
A Multidisciplinary Team-Based Approach to Improve Communication With Surrogates of Patients With Chronic Critical Illness	SAGE Publications Inc		SAGE Journals	10.1177/1049909119876606						Unique_Item_Investigations	1	1	0
A Multidisciplinary Team-Based Approach to Improve Communication With Surrogates of Patients With Chronic Critical Illness	SAGE Publications Inc		SAGE Journals	10.1177/1049909119876606						Unique_Item_Requests	1	1	0
A Multidisciplinary Team-Based Approach to Improve Communication With Surrogates of Patients With Chronic Critical Illness	SAGE Publications Inc		SAGE Journals	10.1177/1049909119876606						Total_Item_Requests	1	1	0
A Multidisciplinary Team-Based Approach to Improve Communication With Surrogates of Patients With Chronic Critical Illness	SAGE Publications Inc		SAGE Journals	10.1177/1049909119876606						Total_Item_Investigations	1	1	0
A participatory action research training initiative to improve police effectiveness	SAGE Publications		SAGE Journals	10.1177/1476750312439901						Unique_Item_Investigations	1	1	0
