Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Platform=ProQuest; Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:55:18Z
Created_By	ProQuest

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Nature	Nature Publishing Group		ProQuest		ProQuest:40569	0028-0836	1476-4687		2007	Unique_Item_Requests	1	1	0
Nature	Nature Publishing Group		ProQuest		ProQuest:40569	0028-0836	1476-4687		2016	Total_Item_Requests	6	6	0
Nature	Nature Publishing Group		ProQuest		ProQuest:40569	0028-0836	1476-4687		2016	Unique_Item_Requests	2	2	0
Nature	Nature Publishing Group		ProQuest		ProQuest:40569	0028-0836	1476-4687		2019	Total_Item_Requests	2	2	0
Nature	Nature Publishing Group		ProQuest		ProQuest:40569	0028-0836	1476-4687		2019	Unique_Item_Requests	1	1	0
New Literary History	Johns Hopkins University Press		ProQuest		ProQuest:1820997	0028-6087			1997	Total_Item_Requests	2	2	0
New Literary History	Johns Hopkins University Press		ProQuest		ProQuest:1820997	0028-6087			1997	Unique_Item_Requests	1	1	0
Parameters	US Army War College Lib		ProQuest		ProQuest:1819217	0031-1723	2158-2106		1983	Total_Item_Requests	2	2	0
Parameters	US Army War College Lib		ProQuest		ProQuest:1819217	0031-1723	2158-2106		1983	Unique_Item_Requests	1	1	0
Performing Arts  Entertainment in Canada	Performing Arts  Entertainment		ProQuest		ProQuest:6031	1185-3433			2000	Total_Item_Requests	3	3	0
Performing Arts  Entertainment in Canada	Performing Arts  Entertainment		ProQuest		ProQuest:6031	1185-3433			2000	Unique_Item_Requests	1	1	0
Perspective	Kirkpatrick Jordon Foundation		ProQuest		ProQuest:1816721	0048-3494			1974	Total_Item_Requests	1	1	0
Perspective	Kirkpatrick Jordon Foundation		ProQuest		ProQuest:1816721	0048-3494			1974	Unique_Item_Requests	1	1	0
Philosophy Today	Philosophy Documentation Center		ProQuest		ProQuest:1820983	0031-8256			1973	Total_Item_Requests	2	2	0
Philosophy Today	Philosophy Documentation Center		ProQuest		ProQuest:1820983	0031-8256			1973	Unique_Item_Requests	1	1	0
Phycologia	Taylor  Francis Ltd		ProQuest		ProQuest:37953	0031-8884	2330-2968		2011	Total_Item_Requests	1	1	0
Phycologia	Taylor  Francis Ltd		ProQuest		ProQuest:37953	0031-8884	2330-2968		2011	Unique_Item_Requests	1	1	0
Physical  Health Education Journal	Canadian Assn for Health Physical		ProQuest		ProQuest:42913	1498-0940			2001	Total_Item_Requests	1	1	0
Physical  Health Education Journal	Canadian Assn for Health Physical		ProQuest		ProQuest:42913	1498-0940			2001	Unique_Item_Requests	1	1	0
Quarterly Review of the Rural Economy	Blackwell Publishing Ltd		ProQuest		ProQuest:1818559	0156-7446			1960	Total_Item_Requests	1	1	0
Quarterly Review of the Rural Economy	Blackwell Publishing Ltd		ProQuest		ProQuest:1818559	0156-7446			1960	Unique_Item_Requests	1	1	0
Reference and Research Book News	Copyright Clearance Center		ProQuest		ProQuest:29579	0887-3763			2012	Total_Item_Requests	3	3	0
Reference and Research Book News	Copyright Clearance Center		ProQuest		ProQuest:29579	0887-3763			2012	Unique_Item_Requests	2	2	0
Reference and Research Book News	Copyright Clearance Center		ProQuest		ProQuest:29579	0887-3763			2013	Total_Item_Requests	2	2	0
Reference and Research Book News	Copyright Clearance Center		ProQuest		ProQuest:29579	0887-3763			2013	Unique_Item_Requests	2	2	0
Review of Contemporary Fiction	Deep Vellum Publishing Co		ProQuest		ProQuest:1819105	0276-0045			1985	Total_Item_Requests	2	2	0
Review of Contemporary Fiction	Deep Vellum Publishing Co		ProQuest		ProQuest:1819105	0276-0045			1985	Unique_Item_Requests	1	1	0
Science	The American Association for the Advancement of Science		ProQuest		ProQuest:1256	0036-8075	1095-9203		2004	Total_Item_Requests	1	1	0
Science	The American Association for the Advancement of Science		ProQuest		ProQuest:1256	0036-8075	1095-9203		2004	Unique_Item_Requests	1	1	0
Sciences	New York Academy of Sciences		ProQuest		ProQuest:47554	0036-861X	2326-1951		1995	Total_Item_Requests	1	1	0
Sciences	New York Academy of Sciences		ProQuest		ProQuest:47554	0036-861X	2326-1951		1995	Unique_Item_Requests	1	1	0
Scitech Book News	Copyright Clearance Center		ProQuest		ProQuest:29698	0196-6006			2000	Total_Item_Requests	2	2	0
Scitech Book News	Copyright Clearance Center		ProQuest		ProQuest:29698	0196-6006			2000	Unique_Item_Requests	1	1	0
Scitech Book News	Copyright Clearance Center		ProQuest		ProQuest:29698	0196-6006			2009	Total_Item_Requests	1	1	0
Scitech Book News	Copyright Clearance Center		ProQuest		ProQuest:29698	0196-6006			2009	Unique_Item_Requests	1	1	0
Southern Folklore	University Press of Kentucky		ProQuest		ProQuest:1819820	0899-594X			1999	Total_Item_Requests	1	1	0
Southern Folklore	University Press of Kentucky		ProQuest		ProQuest:1819820	0899-594X			1999	Unique_Item_Requests	1	1	0
