Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Platform=ProQuest; Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:54:38Z
Created_By	ProQuest

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Physical  Health Education Journal	Canadian Assn for Health Physical		ProQuest		ProQuest:42913	1498-0940			Total_Item_Requests	1	1	0
Physical  Health Education Journal	Canadian Assn for Health Physical		ProQuest		ProQuest:42913	1498-0940			Unique_Item_Requests	1	1	0
Quarterly Review of the Rural Economy	Blackwell Publishing Ltd		ProQuest		ProQuest:1818559	0156-7446			Total_Item_Requests	1	1	0
Quarterly Review of the Rural Economy	Blackwell Publishing Ltd		ProQuest		ProQuest:1818559	0156-7446			Unique_Item_Requests	1	1	0
Reference and Research Book News	Copyright Clearance Center		ProQuest		ProQuest:29579	0887-3763			Total_Item_Requests	5	5	0
Reference and Research Book News	Copyright Clearance Center		ProQuest		ProQuest:29579	0887-3763			Unique_Item_Requests	4	4	0
Review of Contemporary Fiction	Deep Vellum Publishing Co		ProQuest		ProQuest:1819105	0276-0045			Total_Item_Requests	2	2	0
Review of Contemporary Fiction	Deep Vellum Publishing Co		ProQuest		ProQuest:1819105	0276-0045			Unique_Item_Requests	1	1	0
Science	The American Association for the Advancement of Science		ProQuest		ProQuest:1256	0036-8075	1095-9203		Total_Item_Requests	1	1	0
Science	The American Association for the Advancement of Science		ProQuest		ProQuest:1256	0036-8075	1095-9203		Unique_Item_Requests	1	1	0
Sciences	New York Academy of Sciences		ProQuest		ProQuest:47554	0036-861X	2326-1951		Total_Item_Requests	1	1	0
Sciences	New York Academy of Sciences		ProQuest		ProQuest:47554	0036-861X	2326-1951		Unique_Item_Requests	1	1	0
Scitech Book News	Copyright Clearance Center		ProQuest		ProQuest:29698	0196-6006			Total_Item_Requests	3	3	0
Scitech Book News	Copyright Clearance Center		ProQuest		ProQuest:29698	0196-6006			Unique_Item_Requests	2	2	0
Southern Folklore	University Press of Kentucky		ProQuest		ProQuest:1819820	0899-594X			Total_Item_Requests	1	1	0
Southern Folklore	University Press of Kentucky		ProQuest		ProQuest:1819820	0899-594X			Unique_Item_Requests	1	1	0
The American Review of Canadian Studies	Taylor  Francis Inc		ProQuest		ProQuest:48438	0272-2011	1943-9954		Total_Item_Requests	1	1	0
The American Review of Canadian Studies	Taylor  Francis Inc		ProQuest		ProQuest:48438	0272-2011	1943-9954		Unique_Item_Requests	1	1	0
The Canadian Journal of Native Studies	The Canadian Journal of Native Studies		ProQuest		ProQuest:44018	0715-3244			Total_Item_Requests	4	4	0
The Canadian Journal of Native Studies	The Canadian Journal of Native Studies		ProQuest		ProQuest:44018	0715-3244			Unique_Item_Requests	1	1	0
The Canadian Music Educator	Canadian Music Educators Association		ProQuest		ProQuest:45770	0008-4549			Total_Item_Requests	2	2	0
The Canadian Music Educator	Canadian Music Educators Association		ProQuest		ProQuest:45770	0008-4549			Unique_Item_Requests	2	2	0
The Canadian Review of Sociology	Canadian Sociology and Anthropology Assn		ProQuest		ProQuest:39159	1755-6171	1755-618X		Total_Item_Requests	1	1	0
The Canadian Review of Sociology	Canadian Sociology and Anthropology Assn		ProQuest		ProQuest:39159	1755-6171	1755-618X		Unique_Item_Requests	1	1	0
The Economist	The Economist Intelligence Unit		ProQuest		ProQuest:41716	0013-0613	1476-8860		Total_Item_Requests	11	11	0
The Economist	The Economist Intelligence Unit		ProQuest		ProQuest:41716	0013-0613	1476-8860		Unique_Item_Requests	10	10	0
The International Journal of PsychoAnalysis	Taylor  Francis Ltd		ProQuest		ProQuest:1818729	0020-7578			Total_Item_Requests	1	1	0
The International Journal of PsychoAnalysis	Taylor  Francis Ltd		ProQuest		ProQuest:1818729	0020-7578			Unique_Item_Requests	1	1	0
The Journal of Business Strategy	Emerald Group Publishing Limited		ProQuest		ProQuest:1821485	0275-6668	2052-1197		Total_Item_Requests	1	1	0
The Journal of Business Strategy	Emerald Group Publishing Limited		ProQuest		ProQuest:1821485	0275-6668	2052-1197		Unique_Item_Requests	1	1	0
The Journal of Military History	Society for Military History		ProQuest		ProQuest:1819215	0899-3718	1543-7795		Total_Item_Requests	2	2	0
The Journal of Military History	Society for Military History		ProQuest		ProQuest:1819215	0899-3718	1543-7795		Unique_Item_Requests	1	1	0
United States Naval Institute Proceedings	United States Naval Institute		ProQuest		ProQuest:41313	0041-798X			Total_Item_Requests	2	2	0
United States Naval Institute Proceedings	United States Naval Institute		ProQuest		ProQuest:41313	0041-798X			Unique_Item_Requests	2	2	0
Urban History Review  Revue dHistoire Urbaine	University of Toronto Press		ProQuest		ProQuest:1817857	0703-0428	1918-5138		Total_Item_Requests	1	1	0
Urban History Review  Revue dHistoire Urbaine	University of Toronto Press		ProQuest		ProQuest:1817857	0703-0428	1918-5138		Unique_Item_Requests	1	1	0
Water Science  Technology	IWA Publishing		ProQuest		ProQuest:2044521	1606-9749	1607-0798		Total_Item_Requests	2	2	0
Water Science  Technology	IWA Publishing		ProQuest		ProQuest:2044521	1606-9749	1607-0798		Unique_Item_Requests	1	1	0
Youth and Society	Sage Publications Inc		ProQuest		ProQuest:1820876	0044-118X	1552-8499		Total_Item_Requests	1	1	0
Youth and Society	Sage Publications Inc		ProQuest		ProQuest:1820876	0044-118X	1552-8499		Unique_Item_Requests	1	1	0
