Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	
Report_Filters	Platform=ProQuest
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:53:39Z
Created_By	ProQuest

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Ebook Central	ProQuest		ProQuest	Proquest:ebookcentral1	Database	Regular	Searches_Regular	75	47	28
Education Database	ProQuest		ProQuest	Proquest:education	Journal	Regular	No_License	2	0	2
Health & Medical Collection	ProQuest		ProQuest	Proquest:healthcomplete	Journal	Regular	No_License	6	3	3
Latino Literature: Poetry, Drama, and Fiction	ProQuest		ProQuest	Proquest:litcollectionlali	Database	Regular	Searches_Regular	75	47	28
Literature Online - Full Text Journals	ProQuest		ProQuest	Proquest:lionjournals	Journal	Regular	No_License	1	0	1
Materials Science Database	ProQuest		ProQuest	Proquest:materialsscijournals	Journal	Regular	No_License	2	1	1
Medical Database	ProQuest		ProQuest	Proquest:medical	Journal	Regular	No_License	8	4	4
Meteorological & Geoastrophysical Abstracts	ProQuest		ProQuest	Proquest:mgamodule	Database	Regular	Searches_Regular	83	52	31
Oceanic Abstracts	ProQuest		ProQuest	Proquest:oceanic	Database	Regular	Searches_Regular	83	52	31
Oceanic Abstracts	ProQuest		ProQuest	Proquest:oceanic	Journal	Regular	Total_Item_Investigations	2	0	2
Oceanic Abstracts	ProQuest		ProQuest	Proquest:oceanic	Journal	Regular	Unique_Item_Investigations	1	0	1
Periodicals Archive Online	ProQuest		ProQuest	Proquest:pao	Database	Regular	Searches_Regular	150	94	56
Periodicals Archive Online Collection 1	ProQuest		ProQuest	Proquest:pao1_2upd	Database	Regular	Searches_Automated	75	47	28
Periodicals Archive Online Collection 1	ProQuest		ProQuest	Proquest:pao1_2upd	Journal	Regular	Total_Item_Investigations	15	3	12
Periodicals Archive Online Collection 1	ProQuest		ProQuest	Proquest:pao1_2upd	Journal	Regular	Total_Item_Requests	15	3	12
Periodicals Archive Online Collection 1	ProQuest		ProQuest	Proquest:pao1_2upd	Journal	Regular	Unique_Item_Investigations	12	3	9
Periodicals Archive Online Collection 1	ProQuest		ProQuest	Proquest:pao1_2upd	Journal	Regular	Unique_Item_Requests	12	3	9
Periodicals Archive Online Collection 10	ProQuest		ProQuest	Proquest:pao10	Database	Regular	Searches_Automated	75	47	28
Periodicals Archive Online Collection 10	ProQuest		ProQuest	Proquest:pao10	Journal	Regular	Total_Item_Investigations	3	1	2
Periodicals Archive Online Collection 10	ProQuest		ProQuest	Proquest:pao10	Journal	Regular	Total_Item_Requests	2	1	1
Periodicals Archive Online Collection 10	ProQuest		ProQuest	Proquest:pao10	Journal	Regular	Unique_Item_Investigations	2	1	1
Periodicals Archive Online Collection 10	ProQuest		ProQuest	Proquest:pao10	Journal	Regular	Unique_Item_Requests	2	1	1
Periodicals Archive Online Collection 2	ProQuest		ProQuest	Proquest:pao2_2upd	Database	Regular	Searches_Automated	75	47	28
Periodicals Archive Online Collection 2	ProQuest		ProQuest	Proquest:pao2_2upd	Journal	Regular	Total_Item_Investigations	12	10	2
Periodicals Archive Online Collection 2	ProQuest		ProQuest	Proquest:pao2_2upd	Journal	Regular	Total_Item_Requests	12	10	2
Periodicals Archive Online Collection 2	ProQuest		ProQuest	Proquest:pao2_2upd	Journal	Regular	Unique_Item_Investigations	9	7	2
Periodicals Archive Online Collection 2	ProQuest		ProQuest	Proquest:pao2_2upd	Journal	Regular	Unique_Item_Requests	9	7	2
Periodicals Archive Online Collection 2	ProQuest		ProQuest	Proquest:pao2upd	Database	Regular	Searches_Automated	75	47	28
Periodicals Archive Online Collection 3	ProQuest		ProQuest	Proquest:pao3_3upd	Database	Regular	Searches_Automated	75	47	28
Periodicals Archive Online Collection 3	ProQuest		ProQuest	Proquest:pao3_3upd	Journal	Regular	Total_Item_Investigations	3	2	1
Periodicals Archive Online Collection 3	ProQuest		ProQuest	Proquest:pao3_3upd	Journal	Regular	Total_Item_Requests	3	2	1
Periodicals Archive Online Collection 3	ProQuest		ProQuest	Proquest:pao3_3upd	Journal	Regular	Unique_Item_Investigations	2	1	1
Periodicals Archive Online Collection 3	ProQuest		ProQuest	Proquest:pao3_3upd	Journal	Regular	Unique_Item_Requests	2	1	1
Periodicals Archive Online Collection 4	ProQuest		ProQuest	Proquest:pao4_2	Database	Regular	Searches_Automated	75	47	28
Periodicals Archive Online Collection 4	ProQuest		ProQuest	Proquest:pao4upd	Database	Regular	Searches_Automated	75	47	28
Periodicals Archive Online Collection 4	ProQuest		ProQuest	Proquest:pao4upd	Journal	Regular	Total_Item_Investigations	36	0	36
Periodicals Archive Online Collection 4	ProQuest		ProQuest	Proquest:pao4upd	Journal	Regular	Total_Item_Requests	35	0	35
Periodicals Archive Online Collection 4	ProQuest		ProQuest	Proquest:pao4upd	Journal	Regular	Unique_Item_Investigations	12	0	12
Periodicals Archive Online Collection 4	ProQuest		ProQuest	Proquest:pao4upd	Journal	Regular	Unique_Item_Requests	12	0	12
Periodicals Archive Online Collection 5	ProQuest		ProQuest	Proquest:pao5_2	Database	Regular	Searches_Automated	75	47	28
Periodicals Archive Online Collection 5	ProQuest		ProQuest	Proquest:pao5upd	Database	Regular	Searches_Automated	75	47	28
