Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:28Z
Created_By	Gale

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Gale In Context: Biography	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:BIC	Database	Regular	Searches_Regular	6	3	3
Gale In Context: College	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CSIC	Database	Regular	Searches_Regular	6	1	5
Gale In Context: College	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CSIC	Book	Regular	Total_Item_Investigations	2	0	2
Gale In Context: College	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CSIC	Book	Regular	Total_Item_Requests	2	0	2
Gale In Context: College	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CSIC	Book	Regular	Unique_Item_Investigations	1	0	1
Gale In Context: College	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CSIC	Book	Regular	Unique_Item_Requests	1	0	1
Gale In Context: College	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CSIC	Book	Regular	Unique_Title_Investigations	1	0	1
Gale In Context: College	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CSIC	Book	Regular	Unique_Title_Requests	1	0	1
Gale In Context: Environmental Studies	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GRNR	Database	Regular	Searches_Regular	5	1	4
Gale In Context: Global Issues	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GIC	Database	Regular	Searches_Regular	12	5	7
Gale In Context: Global Issues	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GIC	Journal	Regular	Total_Item_Investigations	1	0	1
Gale In Context: Global Issues	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GIC	Journal	Regular	Total_Item_Requests	1	0	1
Gale In Context: Global Issues	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GIC	Journal	Regular	Unique_Item_Investigations	1	0	1
Gale In Context: Global Issues	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GIC	Journal	Regular	Unique_Item_Requests	1	0	1
Gale In Context: Global Issues	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GIC	Newspaper_or_Newsletter	Regular	Total_Item_Investigations	1	1	0
Gale In Context: Global Issues	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:GIC	Newspaper_or_Newsletter	Regular	Unique_Item_Investigations	1	1	0
Gale In Context: Opposing Viewpoints	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:OVIC	Database	Regular	Searches_Regular	10	4	6
Gale In Context: Opposing Viewpoints	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:OVIC	Book	Regular	Total_Item_Investigations	1	0	1
Gale In Context: Opposing Viewpoints	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:OVIC	Book	Regular	Total_Item_Requests	1	0	1
Gale In Context: Opposing Viewpoints	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:OVIC	Book	Regular	Unique_Item_Investigations	1	0	1
Gale In Context: Opposing Viewpoints	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:OVIC	Book	Regular	Unique_Item_Requests	1	0	1
Gale In Context: Opposing Viewpoints	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:OVIC	Book	Regular	Unique_Title_Investigations	1	0	1
Gale In Context: Opposing Viewpoints	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:OVIC	Book	Regular	Unique_Title_Requests	1	0	1
Gale In Context: Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:SCIC	Database	Regular	Searches_Regular	8	1	7
Gale In Context: Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:SCIC	Journal	Regular	Total_Item_Investigations	4	0	4
Gale In Context: Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:SCIC	Journal	Regular	Total_Item_Requests	4	0	4
Gale In Context: Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:SCIC	Journal	Regular	Unique_Item_Investigations	3	0	3
Gale In Context: Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:SCIC	Journal	Regular	Unique_Item_Requests	3	0	3
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Database	Regular	Searches_Regular	26	22	4
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Journal	Regular	Total_Item_Investigations	1	1	0
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Journal	Regular	Total_Item_Requests	1	1	0
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Journal	Regular	Unique_Item_Investigations	1	1	0
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Journal	Regular	Unique_Item_Requests	1	1	0
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Book	Regular	Total_Item_Investigations	5	5	0
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Book	Regular	Total_Item_Requests	5	5	0
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Book	Regular	Unique_Item_Investigations	4	4	0
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Book	Regular	Unique_Item_Requests	4	4	0
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Book	Regular	Unique_Title_Investigations	4	4	0
Gale In Context: U.S. History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:UHIC	Book	Regular	Unique_Title_Requests	4	4	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Database	Regular	Searches_Regular	44	39	5
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Journal	Regular	Total_Item_Investigations	3	3	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Journal	Regular	Total_Item_Requests	3	3	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Journal	Regular	Unique_Item_Investigations	3	3	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Journal	Regular	Unique_Item_Requests	3	3	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Newspaper_or_Newsletter	Regular	Total_Item_Investigations	2	2	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Newspaper_or_Newsletter	Regular	Total_Item_Requests	2	2	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Newspaper_or_Newsletter	Regular	Unique_Item_Investigations	2	2	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Newspaper_or_Newsletter	Regular	Unique_Item_Requests	2	2	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Book	Regular	Total_Item_Investigations	30	30	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Book	Regular	Total_Item_Requests	30	30	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Book	Regular	Unique_Item_Investigations	24	24	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Book	Regular	Unique_Item_Requests	24	24	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Book	Regular	Unique_Title_Investigations	22	22	0
Gale In Context: World History	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:WHIC	Book	Regular	Unique_Title_Requests	22	22	0
Gale Lit.: Dict. of Literary Biog.	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:DLBC	Database	Regular	Searches_Regular	12	12	0
Gale Lit.: Dict. of Literary Biog.	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:DLBC	Book	Regular	Total_Item_Investigations	1	1	0
Gale Lit.: Dict. of Literary Biog.	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:DLBC	Book	Regular	Total_Item_Requests	1	1	0
Gale Lit.: Dict. of Literary Biog.	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:DLBC	Book	Regular	Unique_Item_Investigations	1	1	0
Gale Lit.: Dict. of Literary Biog.	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:DLBC	Book	Regular	Unique_Item_Requests	1	1	0
Gale Lit.: Dict. of Literary Biog.	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:DLBC	Book	Regular	Unique_Title_Investigations	1	1	0
Gale Lit.: Dict. of Literary Biog.	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:DLBC	Book	Regular	Unique_Title_Requests	1	1	0
