Report_Name	Book Requests (Excluding OA_Gold)
Report_ID	TR_B1
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	Total_Item_Requests; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:52Z
Created_By	Gale

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
International Directory of Company Histories,Ed.Online	Gale, part of Cengage Group		Gale		gale:53OG					2024	Unique_Title_Requests	1	1	0
International Directory of Company Histories,Vol.199	Gale, part of Cengage Group		Gale		gale:9GRN	978-1-4103-6215-5	1557-0126			2018	Total_Item_Requests	2	0	2
International Directory of Company Histories,Vol.199	Gale, part of Cengage Group		Gale		gale:9GRN	978-1-4103-6215-5	1557-0126			2018	Unique_Title_Requests	1	0	1
International Directory of Company Histories,Vol.226	Gale, part of Cengage Group		Gale		gale:03R5	978-1-4103-9987-8	1557-0126			2020	Total_Item_Requests	3	3	0
International Directory of Company Histories,Vol.226	Gale, part of Cengage Group		Gale		gale:03R5	978-1-4103-9987-8	1557-0126			2020	Unique_Title_Requests	3	3	0
Literature and Language I	Gale		Gale		gale:0LRK					1749	Total_Item_Requests	1	1	0
Literature and Language I	Gale		Gale		gale:0LRK					1749	Unique_Title_Requests	1	1	0
Market Share Reporter,Ed.32	Gale, part of Cengage Group		Gale		gale:59RN		1052-9578			2022	Total_Item_Requests	3	3	0
Market Share Reporter,Ed.32	Gale, part of Cengage Group		Gale		gale:59RN		1052-9578			2022	Unique_Title_Requests	1	1	0
Market Share Reporter,Ed.34	Gale, part of Cengage Group		Gale		gale:54FS		1052-9578			2024	Total_Item_Requests	3	2	1
Market Share Reporter,Ed.34	Gale, part of Cengage Group		Gale		gale:54FS		1052-9578			2024	Unique_Title_Requests	2	1	1
Market Share Reporter,Ed.35	Gale, part of Cengage Group		Gale		gale:58MN		1052-9578			2025	Total_Item_Requests	7	2	5
Market Share Reporter,Ed.35	Gale, part of Cengage Group		Gale		gale:58MN		1052-9578			2025	Unique_Title_Requests	2	1	1
Notable Corporate Chronologies Online	Gale		Gale		gale:4OSP					2024	Total_Item_Requests	2	2	0
Notable Corporate Chronologies Online	Gale		Gale		gale:4OSP					2024	Unique_Title_Requests	1	1	0
Prejudice in the Modern World Reference Library,Vol.2	Gale		Gale		gale:1RXL	978-1-4144-1057-9				2007	Total_Item_Requests	1	0	1
Prejudice in the Modern World Reference Library,Vol.2	Gale		Gale		gale:1RXL	978-1-4144-1057-9				2007	Unique_Title_Requests	1	0	1
Religion and Philosophy I	Gale		Gale		gale:0LRF					1779	Total_Item_Requests	3	3	0
Religion and Philosophy I	Gale		Gale		gale:0LRF					1779	Unique_Title_Requests	2	2	0
Science and Its Times	Gale		Gale		gale:0PHA	978-0-7876-7724-4				2001	Total_Item_Requests	1	1	0
Science and Its Times	Gale		Gale		gale:0PHA	978-0-7876-7724-4				2001	Unique_Title_Requests	1	1	0
Superbugs	Gale, part of Cengage Group		Gale		gale:1XLZ					2016	Total_Item_Requests	1	0	1
Superbugs	Gale, part of Cengage Group		Gale		gale:1XLZ					2016	Unique_Title_Requests	1	0	1
The Gale Encyclopedia of Medicine,Vol.1,Ed.4	Gale, part of Cengage Group		Gale		gale:3TUE	978-1-4144-8691-8				2011	Total_Item_Requests	2	2	0
The Gale Encyclopedia of Medicine,Vol.1,Ed.4	Gale, part of Cengage Group		Gale		gale:3TUE	978-1-4144-8691-8				2011	Unique_Title_Requests	1	1	0
UXL World Eras,Vol.10	Gale, part of Cengage Group		Gale		gale:6QCB	978-1-57302-978-0				2016	Total_Item_Requests	3	3	0
UXL World Eras,Vol.10	Gale, part of Cengage Group		Gale		gale:6QCB	978-1-57302-978-0				2016	Unique_Title_Requests	1	1	0
World Eras,Vol.9	Gale		Gale		gale:0OUD	978-1-4144-4422-2				2003	Total_Item_Requests	2	2	0
World Eras,Vol.9	Gale		Gale		gale:0OUD	978-1-4144-4422-2				2003	Unique_Title_Requests	1	1	0
World War I and the Jazz Age	Primary Source Media		Gale		gale:0HMB					1999	Total_Item_Requests	1	1	0
World War I and the Jazz Age	Primary Source Media		Gale		gale:0HMB					1999	Unique_Title_Requests	1	1	0
World War I Reference Library,Vol.1	Gale		Gale		gale:5BUR	978-0-7876-9181-3				2002	Total_Item_Requests	1	1	0
World War I Reference Library,Vol.1	Gale		Gale		gale:5BUR	978-0-7876-9181-3				2002	Unique_Title_Requests	1	1	0
